txn_date,mid,payment_method,gateway,status,txn_count,amount_local,currency,revenue_local,cost_local,gp_local
2024-08-20,SA954952952,LDEBIT,GW-NIMBUS,Voided,1,43.68,SAR,0.0,0.06,-0.06
2025-05-10,SA710370541,CARD,GW-ORION,Voided,3,1882.61,SAR,0.0,0.14,-0.14
2026-05-14,SA247806531,CARD,GW-ATLAS,Failed,4,205.02,SAR,0.0,0.3,-0.3
2026-06-08,EG728358410,LDEBIT,GW-NILE,Success,3,4791.35,EGP,55.63,24.81,30.82
2025-12-19,EG873952802,CARD,GW-ATLAS,Refunded,5,4326.0,EGP,0.0,38.18,-38.18
2026-01-29,SA337097778,LDEBIT,GW-NIMBUS,Success,45,17048.62,SAR,133.6,84.31,49.29
2026-05-08,EG123423908,CARD,GW-NILE,Failed,1,2474.11,EGP,0.0,0.41,-0.41
2024-11-22,EG290794122,WALLET,GW-NILE,Success,4,13676.91,EGP,254.2,117.61,136.59
2026-01-21,AE190030385,CARD,GW-NIMBUS,Success,2,1933.08,AED,43.18,26.57,16.61
2025-08-21,EG199157533,WALLET,GW-NILE,Success,1,1309.84,EGP,28.05,12.34,15.71
2025-04-18,AE878919871,CARD,GW-ORION,Success,103,22599.33,AED,515.12,312.23,202.89
2025-01-20,EG656793347,WALLET,GW-NILE,Failed,4,299495.66,EGP,0.0,1.57,-1.57
2026-01-23,SA597658531,TOKEN,GW-ATLAS,SUCCESS,228,36026.33,SAR,568.09,607.99,-39.9
2026-01-19,EG849029255,WALLET,GW-NILE,Captured,32,13222.56,EGP,348.54,163.68,184.86
2025-09-07,EG165675111,CARD,GW-ATLAS,Failed,1,1972.99,EGP,0.0,1.02,-1.02
2026-03-29,EG249264164,CARD,GW-ATLAS,Success,14,13203.5,EGP,382.69,245.96,136.73
2025-03-06,EG926950694,CARD,GW-ATLAS,Success,466,537204.6,EGP,8936.47,9535.83,-599.36
2024-10-08,AE878919871,TOKEN,GW-NIMBUS,Failed,1,220.41,AED,0.0,0.06,-0.06
2025-07-11,SA196173797,TOKEN,GW-ORION,Success,4,307.54,SAR,8.45,4.98,3.47
2025-07-15,AE125858239,BNPL,GW-ATLAS,Success,8,1886.81,AED,79.91,65.8,14.11
2025-06-14,EG761087060,CARD,GW-NILE,Success,80,110337.25,EGP,2921.32,1552.07,1369.25
2025-04-12,OM107384993,TOKEN,GW-ATLAS,Success,8,142.87,OMR,2.59,2.39,0.2
2024-07-30,EG344164016,LDEBIT,GW-NILE,Failed,1,319.8,EGP,0.0,0.38,-0.38
2026-03-08,EG599017636,CARD,GW-ATLAS,Success,2,2058.48,EGP,60.63,37.65,22.98
2025-02-02,EG357144481,CARD,GW-NILE,Success,3,1016.0,EGP,39.07,20.15,18.92
2026-05-03,EG235283002,CARD,GW-NILE,Failed,16,44095.63,EGP,0.0,6.6,-6.6
2026-01-30,SA819868069,LDEBIT,GW-NIMBUS,Success,155,20396.06,SAR,211.02,117.94,93.08
2025-09-05,SA765577175,LDEBIT,GW-NIMBUS,Success,64,5324.36,SAR,43.73,34.76,8.97
2025-12-16,OM978131111,LDEBIT,GW-NIMBUS,Success,6,55.96,OMR,0.79,0.36,0.43
2026-04-25,SA734980407,BNPL,GW-ATLAS,Success,108,6561.66,SAR,171.52,234.87,-63.35
2026-04-06,SA700672253,TOKEN,GW-ORION,Failed,12,518.75,SAR,0.0,0.54,-0.54
2025-06-10,SA722880043,CARD,GW-NIMBUS,Success,7,9193.27,SAR,209.01,125.82,83.19
2025-04-14,EG537339465,TOKEN,GW-ATLAS,Failed,16,6727.18,EGP,0.0,15.91,-15.91
2024-08-05,EG981274071,BNPL,GW-ATLAS,Refunded,1,486.94,EGP,0.0,7.27,-7.27
2026-02-22,EG934737958,WALLET,GW-NILE,Success,24,6910.17,EGP,186.5,99.07,87.43
2026-06-02,EG100648072,CARD,GW-ATLAS,Success,3,6455.77,EGP,175.08,105.54,69.54
2025-10-03,SA912413819,CARD,GW-ORION,Voided,3,100.34,SAR,0.0,0.14,-0.14
2026-05-23,EG420159724,LDEBIT,GW-NILE,Success,7,22369.71,EGP,285.33,103.23,182.1
2024-12-13,EG934454177,WALLET,GW-NILE,Success,91,122903.46,EGP,1866.5,1151.66,714.84
2025-09-19,SA886598559,TOKEN,GW-ORION,Failed,3,493.46,SAR,0.0,0.14,-0.14
2024-11-05,EG643904514,BNPL,GW-ATLAS,Failed,4,1608.32,EGP,0.0,3.9,-3.9
2025-03-20,EG981274071,WALLET,GW-NILE,Refunded,4,1848.36,EGP,0.0,29.64,-29.64
2025-04-17,EG531121056,WALLET,GW-NILE,REFUNDED,1,1438.2,EGP,0.0,7.46,-7.46
2026-05-21,EG614561530,CARD,GW-ATLAS,Failed,4,1878.19,EGP,0.0,4.12,-4.12
2025-09-27,EG181564804,LDEBIT,GW-NILE,Failed,203,101345.58,EGP,0.0,82.72,-82.72
2025-10-05,EG237932689,BNPL,GW-NILE,Success,1,193.76,EGP,8.85,5.98,2.87
2026-04-17,EG930327972,CARD,GW-NILE,Success,1,4272.98,EGP,110.76,54.64,56.12
2025-02-24,AE878919871,BNPL,GW-ATLAS,Success,21,4680.74,AED,197.76,163.31,34.45
2025-08-02,EG728358410,CARD,GW-NILE,Failed,5,7895.36,EGP,0.0,1.98,-1.98
2025-01-10,EG728358410,BNPL,GW-NILE,Success,4,4149.21,EGP,169.79,121.07,48.72
2025-12-13,SA315873581,CARD,GW-ORION,Voided,1,40.67,SAR,0.0,0.04,-0.04
2025-05-25,SA487858809,CARD,GW-ATLAS,Failed,3,136.99,SAR,0.0,0.22,-0.22
2026-02-08,EG707758852,WALLET,GW-NILE,Success,5,2739.69,EGP,63.27,31.17,32.1
2026-01-30,AE744794983,CARD,GW-ORION,Voided,2,305.49,AED,0.0,0.09,-0.09
2025-10-24,SA267227056,CARD,GW-ORION,Success,421,122934.17,SAR,2197.4,1669.95,527.45
2025-12-11,EG219821138,CARD,GW-NILE,Failed,2,847.7,EGP,0.0,0.81,-0.81
2024-07-26,EG874835199,LDEBIT,GW-NILE,Voided,1,237.11,EGP,0.0,0.38,-0.38
2025-04-30,AE381359654,TOKEN,GW-ORION,Success,19,896.73,AED,29.42,16.08,13.34
2026-05-07,SA886598559,LDEBIT,GW-NIMBUS,VOIDED,1,164.49,SAR,0.0,0.06,-0.06
2025-01-13,EG944244262,BANKTR,GW-NILE,Success,3,73098.13,EGP,228.41,80.38,148.03
2026-06-24,EG344164016,CARD,GW-ATLAS,Success,65,20675.99,EGP,829.71,548.87,280.84
2026-04-19,SA435110503,BANKTR,GW-NIMBUS,Failed,3,1097.1,SAR,0.0,0.17,-0.17
2024-09-10,EG874835199,CARD,GW-ATLAS,Success,79,18238.98,EGP,837.15,547.93,289.22
2024-08-31,EG105351460,CARD,GW-NILE,Failed,1,1058.85,EGP,0.0,0.39,-0.39
2024-09-26,EG373213017,CARD,GW-ATLAS,Refunded,4,5429.53,EGP,0.0,28.94,-28.94
2025-06-15,AE439650362,CARD,GW-ORION,Failed,3,228.47,AED,0.0,0.13,-0.13
2025-04-07,SA502327003,CARD,GW-ORION,Success,8,1419.07,SAR,37.59,19.98,17.61
2026-06-06,AE285502973,TOKEN,GW-ATLAS,Refunded,2,309.25,AED,0.0,1.1,-1.1
2025-02-04,SA307616362,CARD,GW-ORION,Refunded,7,446.97,SAR,0.0,3.94,-3.94
2025-10-31,AE345303542,CARD,GW-ATLAS,Voided,1,46.18,AED,0.0,0.07,-0.07
2025-07-31,EG217500923,WALLET,GW-NILE,Declined,2,1220.21,EGP,0.0,0.8,-0.8
2025-03-06,SA124881724,LDEBIT,GW-NIMBUS,Voided,1,116.57,SAR,0.0,0.06,-0.06
2026-02-23,SA828250977,CARD,GW-NIMBUS,Success,2,1135.81,SAR,28.31,15.82,12.49
2026-01-11,OM780225802,CARD,GW-NIMBUS,Failed,4,19.85,OMR,0.0,0.02,-0.02
2026-01-26,EG707758852,LDEBIT,GW-NILE,Success,4,1958.41,EGP,32.41,15.0,17.41
2026-04-27,AE755938199,CARD,GW-NIMBUS,Failed,3,3558.99,AED,0.0,0.17,-0.17
2026-01-03,SA419800769,CARD,GW-ORION,Refunded,1,77.13,SAR,0.0,0.56,-0.56
2025-09-02,EG249264164,WALLET,GW-NILE,Success,4,4494.53,EGP,94.35,43.54,50.81
2024-12-05,EG259754316,WALLET,GW-NILE,Failed,4,1482.46,EGP,0.0,1.57,-1.57
2025-05-03,EG474518016,BNPL,GW-ATLAS,Success,25,34806.2,EGP,1524.51,1227.81,296.7
2025-10-09,OM107384993,CARD,GW-NIMBUS,Success,29,595.99,OMR,10.47,8.77,1.7
2025-07-20,EG486344028,TOKEN,GW-ATLAS,Success,31,9613.54,EGP,383.42,260.49,122.93
2026-05-10,SA987666099,CARD,GW-ATLAS,Failed,30,3022.63,SAR,0.0,2.25,-2.25
2025-10-31,SA732202482,LDEBIT,GW-NIMBUS,Success,22,1480.5,SAR,19.89,10.37,9.52
2025-02-15,AE808885338,CARD,GW-ORION,Failed,1,213.84,AED,0.0,0.04,-0.04
2025-02-09,SA479684490,CARD,GW-ORION,Success,21,1045.34,SAR,31.06,18.09,12.97
2025-06-17,SA295911590,CARD,GW-ORION,Failed,2,364.14,SAR,0.0,0.09,-0.09
2025-12-21,AE782539735,CARD,GW-NIMBUS,Failed,30,1256.24,AED,0.0,1.65,-1.65
2026-02-28,EG686030808,LDEBIT,GW-NILE,Voided,4,3366.14,EGP,0.0,1.64,-1.64
2024-07-19,AE875103901,BNPL,GW-ATLAS,Failed,2,100.45,AED,0.0,0.15,-0.15
2026-06-28,SA434781636,CARD,GW-NIMBUS,Success,9,1378.8,SAR,37.83,20.81,17.02
2025-02-04,EG839904793,TOKEN,GW-NILE,Captured,6,2298.22,EGP,90.76,44.56,46.2
2024-09-26,EG191889591,CARD,GW-ATLAS,Success,33,43919.31,EGP,1158.35,758.14,400.21
2025-11-20,AE520409719,CARD,GW-NIMBUS,Success,45,10979.61,AED,251.82,158.97,92.85
2026-04-13,SA710370541,TOKEN,GW-ORION,Voided,1,627.54,SAR,0.0,0.04,-0.04
2026-06-02,AE125858239,TOKEN,GW-ORION,Success,14,3136.92,AED,73.06,44.78,28.28
2025-12-19,EG783358166,TOKEN,GW-ATLAS,Success,27,8889.75,EGP,358.38,236.12,122.26
2026-04-01,AE107661633,TOKEN,GW-ORION,Success,10,1388.28,AED,37.63,20.65,16.98
2026-04-04,EG219821138,CARD,GW-NILE,Success,22,9490.17,EGP,322.14,175.13,147.01
2025-11-16,SA580727871,TOKEN,GW-ORION,Success,8,505.45,SAR,8.73,8.51,0.22
2025-12-05,EG373213017,TOKEN,GW-NILE,Voided,2,2618.39,EGP,0.0,0.81,-0.81
2024-09-26,SA847623511,LDEBIT,GW-NIMBUS,Success,13,1267.53,SAR,17.44,7.9,9.54
2025-10-22,EG926950694,LDEBIT,GW-NILE,Success,185,220857.65,EGP,1799.58,1220.46,579.12
2025-01-20,EG373213017,CARD,GW-ATLAS,Refunded,1,2007.84,EGP,0.0,7.35,-7.35
2025-05-14,OM667112904,LDEBIT,GW-NIMBUS,Failed,2,6.06,OMR,0.0,0.01,-0.01
2025-04-28,EG920470377,CARD,GW-NILE,Failed,2,2858.97,EGP,0.0,0.8,-0.8
2025-10-31,EG676342880,LDEBIT,GW-NILE,Success,45,40055.72,EGP,592.73,241.52,351.21
2025-09-21,EG181564804,WALLET,GW-NILE,Voided,111,55415.56,EGP,0.0,45.23,-45.23
2025-06-24,EG420159724,LDEBIT,GW-NILE,Success,4,9841.81,EGP,127.69,46.84,80.85
2025-09-18,SA358724361,CARD,GW-ORION,DECLINED,3,128.08,SAR,0.0,0.14,-0.14
2025-10-21,AE744794983,CARD,GW-ORION,Failed,26,3971.41,AED,0.0,1.15,-1.15
2025-05-31,SA512016562,TOKEN,GW-NIMBUS,Success,35,1341.82,SAR,46.5,27.32,19.18
2024-08-20,EG981274071,TOKEN,GW-NILE,Failed,7,2842.05,EGP,0.0,2.71,-2.71
2026-04-15,OM371938797,LDEBIT,GW-NIMBUS,Voided,2,15.39,OMR,0.0,0.01,-0.01
2024-09-02,EG509980512,WALLET,GW-NILE,Success,15,5577.45,EGP,141.98,70.5,71.48
2025-12-15,EG724883181,LDEBIT,GW-NILE,Success,11,3984.7,EGP,71.39,35.74,35.65
2025-11-27,SA710370541,CARD,GW-ORION,Refunded,11,7912.49,SAR,0.0,6.19,-6.19
2026-03-19,SA147303844,CARD,GW-ORION,Captured,41,6950.13,SAR,182.39,98.25,84.14
2025-10-24,SA189353734,TOKEN,GW-ORION,Refunded,2,66.19,SAR,0.0,1.12,-1.12
2026-04-15,OM107384993,CARD,GW-NIMBUS,Success,32,560.89,OMR,9.98,8.37,1.61
2025-03-23,SA508515348,CARD,GW-ORION,Voided,2,369.37,SAR,0.0,0.09,-0.09
2025-07-25,OM817062602,LDEBIT,GW-NIMBUS,Success,47,614.18,OMR,4.51,3.58,0.93
2024-12-29,SA315873581,CARD,GW-ORION,Refunded,2,105.42,SAR,0.0,1.12,-1.12
2026-01-02,AE366451684,TOKEN,GW-NIMBUS,Success,3,302.71,AED,8.83,4.95,3.88
2026-01-20,EG704053078,TOKEN,GW-NILE,Success,17,68808.9,EGP,1175.85,912.51,263.34
2025-02-06,SA772263667,LDEBIT,GW-NIMBUS,Success,7,362.64,SAR,5.48,2.81,2.67
2025-08-03,EG926950694,WALLET,GW-NILE,REVERSED,1,1184.09,EGP,0.0,0.4,-0.4
2025-04-18,EG629727686,WALLET,GW-NILE,Failed,3,1039.1,EGP,0.0,1.19,-1.19
2025-01-08,AE346681166,CARD,GW-NIMBUS,CAPTURED,181,26810.62,AED,659.26,405.15,254.11
2025-05-03,EG897740135,TOKEN,GW-NILE,Success,13,4135.04,EGP,157.59,86.42,71.17
2026-04-10,EG327327982,WALLET,GW-NILE,Success,14,4423.35,EGP,124.11,60.97,63.14
2025-12-12,EG161643120,CARD,GW-NILE,Success,6,5837.42,EGP,168.49,87.11,81.38
2025-01-27,SA295911590,CARD,GW-ORION,Refunded,2,272.7,SAR,0.0,1.12,-1.12
2026-02-21,SA268987858,TOKEN,GW-ORION,Success,1,65.54,SAR,1.94,1.09,0.85
2025-07-29,EG215045135,TOKEN,GW-ATLAS,Success,5,53886.33,EGP,861.93,833.33,28.6
2026-05-21,EG110254241,CARD,GW-ATLAS,Failed,1,975.3,EGP,0.0,1.03,-1.03
2025-04-14,SA860742247,TOKEN,GW-ATLAS,Refunded,6,1046.7,SAR,0.0,3.37,-3.37
2025-10-03,EG750576392,TOKEN,GW-NILE,Success,2,1213.34,EGP,40.98,20.62,20.36
2026-05-06,AE172124002,LDEBIT,GW-NIMBUS,Voided,1,128.8,AED,0.0,0.06,-0.06
2026-06-21,EG193916126,WALLET,GW-NILE,Success,7,1983.05,EGP,58.19,28.66,29.53
2025-05-08,OM761036673,TOKEN,GW-ATLAS,Failed,14,54.44,OMR,0.0,0.11,-0.11
2026-05-16,OM441483176,CARD,GW-ATLAS,REFUNDED,1,27.61,OMR,0.0,0.06,-0.06
2026-05-23,OM434589390,TOKEN,GW-ATLAS,Success,17,291.33,OMR,7.3,4.89,2.41
2024-09-19,SA320986752,CARD,GW-NIMBUS,Success,289,246460.76,SAR,4009.08,3397.66,611.42
2025-04-23,SA416884588,BNPL,GW-ATLAS,Failed,4,827.41,SAR,0.0,0.3,-0.3
2024-11-06,EG275709942,CARD,GW-NILE,Success,167,247191.58,EGP,3891.71,3435.3,456.41
2025-01-04,OM526413827,CARD,GW-NIMBUS,Approved,3,26.79,OMR,0.72,0.44,0.28
2026-06-27,AE572051786,LDEBIT,GW-NIMBUS,Voided,1,42.99,AED,0.0,0.06,-0.06
2025-09-28,SA914955375,TOKEN,GW-NIMBUS,Success,2,628.28,SAR,14.8,9.28,5.52
2026-06-13,SA779172798,LDEBIT,GW-NIMBUS,Success,22,3151.98,SAR,39.58,17.9,21.68
2026-05-11,EG998632198,TOKEN,GW-NILE,Voided,1,1631.23,EGP,0.0,0.41,-0.41
2025-08-08,AE381359654,LDEBIT,GW-NIMBUS,Voided,1,44.1,AED,0.0,0.06,-0.06
2025-12-08,SA502327003,BNPL,GW-ATLAS,Failed,2,360.28,SAR,0.0,0.15,-0.15
2026-03-08,OM494744219,CARD,GW-ATLAS,ERROR,1,49.33,OMR,0.0,0.01,-0.01
2025-10-23,AE389283318,LDEBIT,GW-NIMBUS,Voided,5,473.5,AED,0.0,0.28,-0.28
2025-09-06,EG839115780,CARD,GW-ATLAS,Failed,2,10219.52,EGP,0.0,2.04,-2.04
2026-05-25,AE195822932,TOKEN,GW-NIMBUS,Success,13,1801.62,AED,47.11,28.33,18.78
2025-12-23,SA220762380,BANKTR,GW-NIMBUS,Voided,9,1025.07,SAR,0.0,0.51,-0.51
2026-06-26,EG903275069,BNPL,GW-NILE,VOID,3,1584.51,EGP,0.0,1.23,-1.23
2026-04-29,SA358724361,LDEBIT,GW-NIMBUS,Success,4,145.39,SAR,2.55,1.33,1.22
2026-05-25,OM688926128,CARD,GW-NIMBUS,Refunded,1,9.85,OMR,0.0,0.06,-0.06
2025-12-20,EG686030808,CARD,GW-NILE,Voided,9,7514.34,EGP,0.0,3.67,-3.67
2025-08-18,EG989134753,CARD,GW-NILE,Refunded,8,57398.06,EGP,0.0,59.35,-59.35
2026-03-12,EG537272220,CARD,GW-ATLAS,Failed,1,1700.39,EGP,0.0,1.03,-1.03
2025-09-17,SA640104269,TOKEN,GW-ORION,Success,2,3902.79,SAR,65.37,52.35,13.02
2025-05-16,EG988355477,LDEBIT,GW-NILE,Success,3,7182.85,EGP,91.89,34.32,57.57
2025-06-04,SA474123129,LDEBIT,GW-NIMBUS,Failed,6,361.9,SAR,0.0,0.34,-0.34
2026-02-08,AE521533668,TOKEN,GW-ATLAS,Success,1,149.48,AED,3.98,2.53,1.45
2025-05-17,AE603567666,BNPL,GW-ATLAS,Failed,1,164.22,AED,0.0,0.07,-0.07
2025-10-17,SA705652485,TOKEN,GW-NIMBUS,Success,131,16463.6,SAR,354.76,262.42,92.34
2026-04-27,EG873952802,LDEBIT,GW-NILE,Success,50,64156.76,EGP,569.04,349.63,219.41
2025-03-18,SA660258875,TOKEN,GW-NIMBUS,Success,6,1203.62,SAR,31.71,18.31,13.4
2025-04-11,AE738504243,CARD,GW-ATLAS,Success,5,1033.86,AED,25.89,16.43,9.46
2024-11-13,EG518450463,LDEBIT,GW-NILE,Success,1,428.86,EGP,7.59,3.44,4.15
2026-06-22,SA315873581,CARD,GW-ORION,Voided,2,81.33,SAR,0.0,0.09,-0.09
2025-01-18,SA466668047,BNPL,GW-ATLAS,Refunded,1,46.97,SAR,0.0,0.56,-0.56
2025-12-24,EG554455116,CARD,GW-NILE,Failed,1,9858.58,EGP,0.0,0.41,-0.41
2026-02-20,SA705652485,TOKEN,GW-NIMBUS,Success,197,23652.86,SAR,512.06,379.16,132.9
2024-10-15,AE125858239,CARD,GW-ORION,Success,64,15149.93,AED,344.23,208.21,136.02
2025-10-10,EG509980512,TOKEN,GW-NILE,Captured,9,3439.11,EGP,128.67,67.35,61.32
2026-01-03,SA729864911,LDEBIT,GW-NIMBUS,Success,5,2034.23,SAR,24.76,10.0,14.76
2025-07-27,SA775621648,CARD,GW-ATLAS,Failed,1,43.38,SAR,0.0,0.08,-0.08
2024-10-13,SA819868069,CARD,GW-NIMBUS,Success,233,31246.19,SAR,658.46,478.62,179.84
2024-11-19,EG987489356,CARD,GW-ATLAS,Success,1904,552617.65,EGP,21979.49,14932.79,7046.7
2025-07-24,EG235283002,CARD,GW-NILE,Failed,20,53658.03,EGP,0.0,8.03,-8.03
2025-12-14,AE798073466,TOKEN,GW-ORION,Failed,1,257.46,AED,0.0,0.04,-0.04
2025-03-25,OM214883127,TOKEN,GW-NIMBUS,SUCCESS,4,19.64,OMR,0.65,0.37,0.28
2025-11-21,AE642488904,CARD,GW-ATLAS,Voided,1,1379.75,AED,0.0,0.07,-0.07
2026-03-28,OM805525842,CARD,GW-ATLAS,Failed,25,358.34,OMR,0.0,0.19,-0.19
2025-07-27,EG981274071,CARD,GW-ATLAS,Refunded,7,2962.66,EGP,0.0,52.7,-52.7
2025-10-12,EG518450463,LDEBIT,GW-NILE,Success,1,621.36,EGP,9.91,4.28,5.63
2026-02-14,AE239330460,CARD,GW-ORION,Voided,1,58.0,AED,0.0,0.04,-0.04
2024-11-13,EG873952802,LDEBIT,GW-NILE,Voided,1,1274.33,EGP,0.0,0.39,-0.39
2025-06-24,SA887092113,BNPL,GW-ATLAS,Success,4,503.03,SAR,23.6,17.68,5.92
2026-05-18,EG943952192,CARD,GW-ATLAS,Voided,1,6009.49,EGP,0.0,1.03,-1.03
2026-05-15,AE221142304,CARD,GW-ATLAS,Failed,3,173.35,AED,0.0,0.22,-0.22
2025-12-19,AE345303542,CARD,GW-ATLAS,Failed,3,138.55,AED,0.0,0.22,-0.22
2024-09-07,EG331354329,WALLET,GW-NILE,Success,123,43142.83,EGP,808.11,557.12,250.99
2025-01-10,SA196173797,CARD,GW-ORION,Failed,2,172.01,SAR,0.0,0.09,-0.09
2026-04-07,EG389262771,CARD,GW-NILE,Voided,1,391.12,EGP,0.0,0.41,-0.41
2026-06-09,EG537155658,CARD,GW-NILE,Failed,36,8337.21,EGP,0.0,14.81,-14.81
2025-03-19,EG327394766,CARD,GW-ATLAS,Voided,1,1550.89,EGP,0.0,0.99,-0.99
2026-06-26,AE878919871,TOKEN,GW-NIMBUS,Refunded,4,549.29,AED,0.0,2.2,-2.2
2025-03-25,EG105351460,TOKEN,GW-NILE,Success,1,1009.35,EGP,28.16,15.34,12.82
2025-02-17,AE647447711,CARD,GW-NIMBUS,Failed,2,251.74,AED,0.0,0.11,-0.11
2025-08-01,AE618504164,CARD,GW-ATLAS,Success,61,3293.73,AED,102.11,64.6,37.51
2026-03-24,EG511253320,TOKEN,GW-ATLAS,Failed,1,338.54,EGP,0.0,1.03,-1.03
2024-12-27,SA944601083,LDEBIT,GW-NIMBUS,Voided,1,335.24,SAR,0.0,0.06,-0.06
2025-02-25,EG623813968,WALLET,GW-NILE,Failed,1,2149.15,EGP,0.0,0.39,-0.39
2026-06-23,EG537339465,CARD,GW-ATLAS,Success,741,317755.83,EGP,7930.04,7453.38,476.66
2024-11-03,EG134531316,LDEBIT,GW-NILE,Success,4,8048.64,EGP,101.76,39.43,62.33
2024-11-07,EG728979434,WALLET,GW-NILE,Success,1,2700.65,EGP,53.06,23.58,29.48
2026-03-18,EG645057217,LDEBIT,GW-NILE,Success,4,4148.7,EGP,58.32,24.03,34.29
2024-12-13,SA189353734,CARD,GW-ORION,Success,67,2697.41,SAR,85.22,49.53,35.69
2025-09-11,EG967183698,LDEBIT,GW-NILE,REFUNDED,12,3133.87,EGP,0.0,91.68,-91.68
2025-03-02,SA623969133,LDEBIT,GW-NIMBUS,Success,2,421.0,SAR,5.2,2.23,2.97
2026-01-04,EG344164016,WALLET,GW-NILE,Success,17,6299.81,EGP,162.19,81.09,81.1
2024-07-14,EG676342880,LDEBIT,GW-NILE,Success,37,31709.0,EGP,468.47,190.7,277.77
2025-12-10,EG537339465,CARD,GW-ATLAS,Success,752,321528.42,EGP,8003.45,7520.55,482.9
2025-02-23,SA765577175,CARD,GW-ORION,Failed,19,1597.99,SAR,0.0,0.86,-0.86
2025-11-24,EG403388419,BNPL,GW-NILE,SUCCESS,14,27453.25,EGP,1212.34,796.36,415.98
2024-10-27,OM141192539,LDEBIT,GW-NIMBUS,Success,16,267.27,OMR,3.1,1.48,1.62
2024-09-02,SA972748866,BNPL,GW-ATLAS,Voided,3,391.17,SAR,0.0,0.22,-0.22
2025-04-29,AE603567666,CARD,GW-ATLAS,Failed,2,328.43,AED,0.0,0.15,-0.15
2024-08-24,EG624580946,CARD,GW-NILE,Refunded,7,1496.53,EGP,0.0,50.86,-50.86
2026-01-05,AE861319254,CARD,GW-ATLAS,Failed,1,207.73,AED,0.0,0.07,-0.07
2024-12-25,SA112481566,CARD,GW-ORION,Refunded,1,87.64,SAR,0.0,0.56,-0.56
2025-01-10,SA268987858,BNPL,GW-ATLAS,Success,1,65.53,SAR,3.06,2.34,0.72
2025-12-28,OM869421466,BANKTR,GW-NIMBUS,Success,2,1597.5,OMR,3.74,1.08,2.66
2025-02-24,EG191889591,TOKEN,GW-NILE,Success,7,8632.71,EGP,235.06,126.98,108.08
2025-08-10,SA320986752,TOKEN,GW-ORION,Voided,1,861.05,SAR,0.0,0.04,-0.04
2026-05-23,EG645057217,TOKEN,GW-ATLAS,Success,5,6772.75,EGP,189.54,121.48,68.06
2026-02-18,AE368709978,TOKEN,GW-ORION,Success,10,544.11,AED,16.91,9.42,7.49
2026-01-30,EG903275069,LDEBIT,GW-NILE,Failed,3,1556.18,EGP,0.0,1.21,-1.21
2025-08-18,AE132301545,CARD,GW-NIMBUS,Failed,1,181.25,AED,0.0,0.06,-0.06
2026-03-09,EG783358166,LDEBIT,GW-NILE,FAILED,5,1468.67,EGP,0.0,2.06,-2.06
2026-02-02,AE681860470,LDEBIT,GW-NIMBUS,Failed,1,83.31,AED,0.0,0.06,-0.06
2026-03-11,SA508515348,LDEBIT,GW-NIMBUS,Failed,3,554.06,SAR,0.0,0.17,-0.17
2025-12-02,EG676342880,WALLET,GW-NILE,Failed,10,8643.67,EGP,0.0,4.07,-4.07
2025-07-04,EG357144481,WALLET,GW-NILE,Failed,1,367.63,EGP,0.0,0.4,-0.4
2026-02-21,AE595956042,CARD,GW-ORION,Voided,1,284.37,AED,0.0,0.04,-0.04
2026-02-19,AE551105480,CARD,GW-NIMBUS,Voided,1,311.28,AED,0.0,0.06,-0.06
