merchant_key,mid,merchant_name,country_code,segment,vertical,integration_type,account_manager,lifecycle_status,live_date,last_txn_date,gmv_last_3m,gmv_prior_3m,gmv_fy26,revenue_fy26,gp_fy26,leakage_fy26,success_last_3m,failed_last_3m,gmv_change_3m_pct,health_status,success_rate_last_3m,flag_negative_gp,flag_billing_leakage,flag_low_success_rate,flag_declining,flag_inactive,flag_never_transacted,alert_count,as_of_month
18,SA781674979,Coral Kitchen,SA,SME,Food & Beverage,Hosted Checkout,Omar Al-Anazi,Active,2020-11-05,2026-06-28,103265.816,94287.1649,366097.9886,10494.8122,4479.554,-0.051799999999957005,8267.0,750.0,0.09522665263636539,Stable,0.9168237773095265,0,0,0,0,0,0,0,202606
19,EG772389130,Silver Trading,EG,B2B,Distribution & Wholesale,Payment Links,Hany Soliman,Active,2020-11-01,2026-06-28,234893.2573,259354.4579,1052232.6753,13424.2359,2148.6511,0.0011000000001783795,224.0,33.0,-0.09431571293612227,Stable,0.8715953307392996,0,0,0,0,0,0,0,202606
20,AE970872555,Amber Market,AE,SME,Retail,Hosted Checkout,Yousef Al-Marri,Active,2020-11-21,2026-06-30,88286.6384,84448.8303,343096.6883000001,10281.6415,4059.0767000000005,-0.003500000000372098,2937.0,325.0,0.045445367169283275,Stable,0.9003678724708768,0,0,0,0,0,0,0,202606
21,EG327327982,Silver Grill,EG,SME,Food & Beverage,Payment Links,Nadia Fouad,Active,2020-11-07,2026-06-30,29043.578400000002,28578.9941,115696.35440000001,3953.8853,1952.5381,0.00019999999995000184,4891.0,698.0,0.01625614597821,Stable,0.8751118268026481,0,0,0,0,0,0,0,202606
22,EG943656964,Coral Digital,EG,Online,Digital Services,Direct API,Nadia Fouad,Active,2020-12-24,2026-06-30,6095.3521,7000.6810000000005,31750.0926,1098.0778000000003,343.51220000000006,-0.0030000000000142,857.0,110.0,-0.12932011899985163,Stable,0.8862461220268872,0,0,0,0,0,0,0,202606
23,SA466668047,Golden Cafe,SA,Online,Food & Beverage,E-commerce Plugin,Omar Al-Anazi,Active,2020-11-16,2026-06-30,393329.6703,415212.5492,1596259.2216999999,47209.2606,18400.9277,-0.007600000001730499,33565.0,4338.0,-0.052702836034609936,Stable,0.8855499564678257,0,0,0,0,0,0,0,202606
24,EG416828825,Silver Journeys,EG,Online,Travel & Hospitality,Direct API,Nadia Fouad,Active,2021-02-17,2026-06-30,28114.6752,31719.421800000004,132533.9985,3005.6988,1312.3059,-0.001699999999942702,178.0,48.0,-0.11364477646310696,Stable,0.7876106194690266,0,0,0,0,0,0,0,202606
25,SA786403853,Crescent Market,SA,Enterprise,Retail,Payment Links,Turki Al-Shammari,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
26,AE642488904,Swift Journeys,AE,Enterprise,Travel & Hospitality,E-commerce Plugin,Yousef Al-Marri,Active,2020-11-18,2026-06-30,2399641.9989,1917980.9453000003,9174581.9558,152753.9156,-8773.495700000001,0.0755000000026482,6351.0,765.0,0.2511292173054727,Growing,0.892495784148398,1,0,0,0,0,0,1,202606
27,EG439677893,Metro Online,EG,Online,E-commerce,Direct API,Mai Ragab,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
28,AE519251741,Pearl Online,AE,Online,E-commerce,Direct API,Layla Haddad,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
29,EG542845011,Bright Stores,EG,SME,Retail,Hosted Checkout,Nadia Fouad,Active,2020-12-24,2026-06-29,7525.2080000000005,7140.436699999999,30916.248200000005,900.6120000000001,372.1811,-0.001699999999985109,412.0,60.0,0.0538862419997367,Stable,0.8728813559322034,0,0,0,0,0,0,0,202606
30,AE396175229,Cedar Mart,AE,SME,Retail,POS Terminal,Yousef Al-Marri,Churned,2020-12-21,2025-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Churned,,0,0,0,0,1,0,1,202606
31,AE870997409,Pearl Shop,AE,Online,E-commerce,Direct API,Layla Haddad,Churned,2021-03-04,2025-11-30,0.0,0.0,152428.81399999998,3744.2479,1346.9556,-0.0036999999998669985,0.0,0.0,,Churned,,0,0,0,0,1,0,1,202606
32,EG178731082,Swift Streaming,EG,Online,Digital Services,Direct API,Mai Ragab,Churned,2021-01-08,2026-03-31,0.0,137200.0151,411663.02,12124.7929,5283.2838,-0.001900000000205098,0.0,0.0,-1.0,Churned,,0,0,0,0,1,0,1,202606
33,EG622719015,Cedar Tours,EG,Online,Travel & Hospitality,Direct API,Hany Soliman,Active,2021-03-02,2026-06-30,41176.2277,28359.8402,131756.463,2874.0512,1240.7524,0.00020000000000679782,143.0,20.0,0.4519203003125527,Growing,0.8773006134969326,0,0,0,0,0,0,0,202606
34,AE462770123,Amber Consulting,AE,SME,Professional Services,Payment Links,Yousef Al-Marri,Active,2020-12-07,2026-06-28,58626.4286,60310.5055,233569.198,5106.383699999999,2432.7135999999996,0.011199999999859999,672.0,60.0,-0.02792344196153355,Stable,0.9180327868852459,0,0,0,0,0,0,0,202606
35,SA944601083,Falcon Services,SA,SME,Professional Services,POS Terminal,Reem Al-Ghamdi,Active,2021-01-04,2026-06-30,258799.86680000002,242291.21860000002,932772.9569,19756.0266,8638.3681,-0.0232000000003151,2890.0,278.0,0.06813556139339172,Stable,0.9122474747474747,0,0,0,0,0,0,0,202606
36,EG397022030,Prime Wholesale,EG,B2B,Distribution & Wholesale,Direct API,Karim Ezzat,Active,2021-03-17,2026-06-25,542618.3323,497228.04219999997,1994408.0913999998,11517.902699999997,3963.6605999999997,-0.001699999999914102,373.0,18.0,0.0912866657704368,Stable,0.9539641943734015,0,0,0,0,0,0,0,202606
37,OM939316312,Prime Outlet,OM,SME,Retail,POS Terminal,Salim Al-Harthy,Active,2021-01-09,2026-06-30,61986.5269,60979.9483,248801.01329999996,6037.2170000000015,2606.6182,0.3757000000001082,2886.0,236.0,0.016506714552265385,Stable,0.9244074311338886,0,0,0,0,0,0,0,202606
38,AE861319254,Crescent Deals,AE,Online,E-commerce,Hosted Checkout,Yousef Al-Marri,Active,2020-12-27,2026-06-30,27484.460399999996,33831.826199999996,154430.4265,4456.3162,1514.8408,-0.0093000000001949,460.0,89.0,-0.1876152284088052,Stable,0.8378870673952641,0,0,1,0,0,0,1,202606
39,OM222996492,Golden Traders,OM,B2B,Distribution & Wholesale,Direct API,Salim Al-Harthy,Active,2021-02-10,2026-06-29,1787317.6852000002,1641260.4681,5933553.3421,33563.5887,10697.0629,0.07200000000125331,879.0,42.0,0.08899088227542758,Stable,0.9543973941368078,0,0,0,0,0,0,0,202606
40,EG474829702,Bright Institute,EG,Online,Education,Direct API,Hany Soliman,Active,2021-03-03,2026-06-30,33202.221000000005,47853.504100000006,220311.39429999999,5657.9781,2440.4438,-0.0037000000000373,358.0,53.0,-0.3061694932388452,Declining,0.8710462287104623,0,0,0,1,0,0,1,202606
41,AE204415052,Horizon Market,AE,SME,Retail,Payment Links,Yousef Al-Marri,Churned,2020-12-17,2025-08-31,0.0,0.0,10479.9271,252.1304,117.7859,-0.005600000000001,0.0,0.0,,Churned,,0,0,0,0,1,0,1,202606
42,SA711632487,Pearl Bakery,SA,SME,Food & Beverage,POS Terminal,Reem Al-Ghamdi,Active,2021-01-11,2026-06-30,98909.5389,108708.40269999999,413798.9632,11858.7579,5262.0887,0.019199999999841497,9872.0,810.0,-0.09013897322216834,Stable,0.9241715034637709,0,0,0,0,0,0,0,202606
43,AE667080643,Falcon Basket,AE,Online,E-commerce,Direct API,Layla Haddad,Active,2021-01-15,2026-06-30,67606.88930000001,67475.099,281707.8818,7147.650499999999,3029.0960999999998,0.008100000000012802,1141.0,144.0,0.001953169420322123,Stable,0.8879377431906614,0,0,0,0,0,0,0,202606
44,EG537155658,Urban Kitchen,EG,SME,Food & Beverage,POS Terminal,Nadia Fouad,Active,2021-01-05,2026-06-30,220855.38059999997,244749.85100000002,836694.6925,32081.132599999997,14527.7776,0.0013999999996484758,49081.0,5290.0,-0.09762813052744226,Stable,0.9027054863806073,0,0,0,0,0,0,0,202606
45,AE957433919,Prime Stores,AE,Enterprise,Retail,Direct API,Layla Haddad,Active,2021-01-14,2026-06-30,25272226.398500003,24462952.7734,95031936.422,2032588.1411999997,578136.9151,0.0018999999156222988,605773.0,43413.0,0.03308160027108306,Stable,0.9331270236881264,0,0,0,0,0,0,0,202606
46,EG680139391,Coral Roastery,EG,Online,Food & Beverage,Direct API,Hany Soliman,Active,2021-02-25,2026-06-30,326601.9725,320614.9752,1182865.512,37232.885500000004,16828.8869,-0.0015999999995980289,39931.0,5325.0,0.01867347991548209,Stable,0.8823360438394909,0,0,0,0,0,0,0,202606
47,SA925677957,Silver EdTech,SA,SME,Education,POS Terminal,Omar Al-Anazi,Active,2021-01-19,2026-06-30,67501.9866,82701.4021,328407.2953,6786.3733,2949.2283,0.015500000000087902,381.0,34.0,-0.1837866724631988,Stable,0.9180722891566265,0,0,0,0,0,0,0,202606
48,SA567182035,Royal Academy,SA,SME,Education,POS Terminal,Reem Al-Ghamdi,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
49,OM136025016,Green Express,OM,B2B,Logistics,Payment Links,Salim Al-Harthy,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
50,EG199157533,Metro Boutique,EG,SME,Retail,POS Terminal,Mai Ragab,Active,2021-02-03,2026-06-29,6947.2798,7384.464599999999,28705.035699999997,685.231,293.40920000000006,-0.0007999999999910089,324.0,36.0,-0.05920331719106611,Stable,0.9,0,0,0,0,0,0,0,202606
51,OM501692260,Pearl Schools,OM,Online,Education,Direct API,Salim Al-Harthy,Churned,2021-02-02,2026-03-31,0.0,132173.7067,400550.0386,8297.9464,3139.0419,-0.024399999999787023,0.0,0.0,-1.0,Churned,,0,0,0,0,1,0,1,202606
52,EG290794122,Green Academy,EG,SME,Education,Payment Links,Mai Ragab,Active,2021-01-05,2026-06-30,77017.6348,87757.4795,332816.0898,6646.315100000001,3287.7797000000005,-4.546867439850222e-13,1052.0,116.0,-0.12238096127179679,Stable,0.9006849315068494,0,0,0,0,0,0,0,202606
53,OM861947173,Swift Medical,OM,SME,Healthcare,POS Terminal,Salim Al-Harthy,Active,2021-02-08,2026-06-27,41690.0383,43235.369600000005,169224.52409999998,3730.1444,1633.893,0.18250000000006117,933.0,58.0,-0.03574229419794309,Stable,0.941473259334006,0,0,0,0,0,0,0,202606
54,SA588810791,Coral Telecom,SA,B2B,Telecom & Utilities,Payment Links,Omar Al-Anazi,Active,2021-01-23,2026-06-25,354359.3837,325340.71749999997,1584848.1758000003,22974.730999999996,3210.6198000000004,-0.032800000000179005,10534.0,812.0,0.08919469540421124,Stable,0.9284329279041071,0,0,0,0,0,0,0,202606
55,SA999694215,Royal Care,SA,SME,Healthcare,Payment Links,Turki Al-Shammari,Active,2021-01-21,2026-06-28,207601.5494,195603.93339999998,767135.2431,16967.458800000004,7395.2847,-0.0014000000001029998,4083.0,339.0,0.06133627167642637,Stable,0.923337856173677,0,0,0,0,0,0,0,202606
56,EG991914423,Blue Outlet,EG,SME,Retail,Payment Links,Mai Ragab,Active,2021-01-29,2026-06-26,39019.4681,46722.962400000004,184876.80270000003,4761.5902,2356.8528,-0.0008999999998876003,2699.0,389.0,-0.16487598183628882,Stable,0.8740284974093264,0,0,0,0,0,0,0,202606
57,SA843654782,Oasis Logistics,SA,B2B,Logistics,Direct API,Reem Al-Ghamdi,Active,2021-03-14,2026-06-25,2236294.0159,2313168.4051,9009605.4424,52544.1707,13329.1423,0.014099999998507,2038.0,95.0,-0.033233373337846865,Stable,0.9554617909048289,0,0,0,0,0,0,0,202606
58,OM206534144,Golden Partners,OM,SME,Professional Services,Payment Links,Salim Al-Harthy,Active,2021-01-28,2026-06-30,70933.44589999999,73922.2362,271518.9853,6019.8961,2858.3911000000003,-0.1049000000001,608.0,81.0,-0.040431546090051965,Stable,0.8824383164005806,0,0,0,0,0,0,0,202606
59,AE744794983,Pearl Deals,AE,Online,E-commerce,Direct API,Yousef Al-Marri,Active,2021-05-04,2026-06-30,305588.79480000003,293601.78359999997,1145114.5457,28424.247499999998,11481.718,0.00019999999926760027,7332.0,991.0,0.04082744679893037,Stable,0.8809323561215908,0,0,0,0,0,0,0,202606
60,EG605770113,Horizon Labs,EG,SME,Healthcare,Payment Links,Mai Ragab,Churned,2021-02-05,2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Churned,,0,0,0,0,1,0,1,202606
61,EG989134753,Zenith Travel,EG,Enterprise,Travel & Hospitality,E-commerce Plugin,Mai Ragab,Active,2021-02-11,2026-06-30,1367845.5191000002,1107371.1428,5291754.6931,80267.762,20728.076499999996,0.0032999999984892,9450.0,1172.0,0.2352186780318185,Growing,0.8896629636603276,0,0,0,0,0,0,0,202606
62,AE901367882,Oasis Online,AE,Enterprise,E-commerce,POS Terminal,Layla Haddad,Live - never transacted,2021-03-14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
63,SA502327003,Bright Pharmacy,SA,SME,Healthcare,Direct API,Omar Al-Anazi,Active,2021-04-19,2026-06-30,49337.8989,48205.3679,205073.8701,5302.9576,2293.3190999999997,-0.0644000000000345,1016.0,118.0,0.02349387732813056,Stable,0.8959435626102292,0,0,0,0,0,0,0,202606
64,EG559913630,Swift Institute,EG,Online,Education,Hosted Checkout,Mai Ragab,Active,2021-03-20,2026-06-30,15851.4781,21161.2674,83725.47949999999,2026.7506,792.5634,0.0021999999999736,188.0,26.0,-0.25092019299373347,Declining,0.8785046728971962,0,0,0,1,0,0,1,202606
65,EG270479119,Coral Stores,EG,SME,Retail,Hosted Checkout,Karim Ezzat,Live - never transacted,2021-03-04,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
66,EG952454778,Oasis Grill,EG,SME,Food & Beverage,Direct API,Nadia Fouad,Active,2021-04-20,2026-06-30,51454.2963,51560.605299999996,187099.88940000001,6722.5902,2550.1149,-0.005000000000222598,8737.0,1152.0,-0.002061826066266019,Stable,0.8835069268884619,0,0,0,0,0,0,0,202606
67,SA624172387,Oasis Roastery,SA,SME,Food & Beverage,POS Terminal,Turki Al-Shammari,Active,2021-03-15,2026-06-30,28742.8992,30373.8802,120665.11849999998,3305.6135000000004,1386.364,-0.035399999999896,2616.0,247.0,-0.05369682731546428,Stable,0.9137268599371289,0,0,0,0,0,0,0,202606
68,SA951904107,Green Cart,SA,Online,E-commerce,E-commerce Plugin,Turki Al-Shammari,Churned,2021-02-24,2025-06-30,0.0,0.0,0.0,0.0,-5.2453,0.0,0.0,0.0,,Churned,,0,0,0,0,1,0,1,202606
69,AE551105480,Silver Partners,AE,SME,Professional Services,Payment Links,Yousef Al-Marri,Active,2021-02-19,2026-06-30,37946.309700000005,33535.4115,139174.81309999997,2934.906,1283.0113,0.0098000000000125,425.0,35.0,0.1315295683787868,Stable,0.9239130434782609,0,0,0,0,0,0,0,202606
70,AE405837168,Coral Shop,AE,Online,E-commerce,Direct API,Yousef Al-Marri,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
71,SA184014126,Oasis Cafe,SA,Online,Food & Beverage,Direct API,Turki Al-Shammari,Active,2021-04-23,2026-06-30,88416.8775,91424.16519999999,353661.5115,9592.4839,3487.5193000000004,-0.006899999999973198,5801.0,672.0,-0.03289379447349864,Stable,0.8961841495442607,0,0,0,0,0,0,0,202606
72,AE634747251,Amber Academy,AE,Online,Education,Direct API,Yousef Al-Marri,Live - never transacted,2021-06-13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
73,EG312940892,Nova Consulting,EG,SME,Professional Services,POS Terminal,Mai Ragab,Live - never transacted,2021-03-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
74,OM869288062,Sand Stays,OM,Online,Travel & Hospitality,Direct API,Salim Al-Harthy,Active,2021-04-25,2026-06-28,9018.3616,11672.1197,61291.417799999996,1216.1770000000001,422.1857,-0.07849999999999091,20.0,5.0,-0.22735871188846696,Stable,0.8,0,0,0,0,0,0,0,202606
75,EG161643120,Horizon Stores,EG,SME,Retail,POS Terminal,Mai Ragab,Active,2021-03-08,2026-06-30,17833.2285,19517.910900000003,74387.49260000001,1814.5320000000004,853.5133999999999,0.002500000000082822,1050.0,99.0,-0.08631468852539957,Stable,0.9138381201044387,0,0,0,0,0,0,0,202606
76,SA435110503,Swift Partners,SA,B2B,Professional Services,Payment Links,Reem Al-Ghamdi,Active,2021-03-02,2026-06-29,1156633.4933,929470.04,4252563.744200001,37134.7172,8462.3608,-0.006400000001576499,11893.0,442.0,0.24440104954862227,Growing,0.964167004458857,0,0,0,0,0,0,0,202606
77,EG544762327,Silver Market,EG,SME,Retail,POS Terminal,Karim Ezzat,Live - never transacted,2021-03-22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
78,EG629727686,Prime Cafe,EG,SME,Food & Beverage,Payment Links,Hany Soliman,Active,2021-03-05,2026-06-29,6778.858499999999,9244.670399999999,34332.693799999994,1054.0102,503.24760000000003,-0.001199999999940309,971.0,106.0,-0.26672794089013707,Declining,0.9015784586815228,0,0,0,1,0,0,1,202606
79,SA147303844,Urban Deals,SA,Online,E-commerce,Direct API,Omar Al-Anazi,Active,2021-05-14,2026-06-30,230722.26929999999,230520.77070000002,943126.7797000001,24889.131,11251.1516,-0.012499999999136197,5111.0,617.0,0.0008741017106098136,Stable,0.8922835195530726,0,0,0,0,0,0,0,202606
80,EG893131097,Nova Boutique,EG,SME,Retail,Direct API,Karim Ezzat,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
81,AE836534480,Green Services,AE,SME,Professional Services,E-commerce Plugin,Layla Haddad,Active,2021-03-25,2026-06-30,81837.6097,88659.3474,344601.9429,9626.9897,3743.7150000000006,-0.002300000000104801,831.0,108.0,-0.07694324287345249,Stable,0.8849840255591054,0,0,0,0,0,0,0,202606
82,EG460895383,Amber Services,EG,SME,Professional Services,Hosted Checkout,Hany Soliman,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
83,SA407055199,Urban Outlet,SA,SME,Retail,Hosted Checkout,Reem Al-Ghamdi,Active,2021-03-30,2026-06-30,322225.9362,342773.7811,1296484.301,29510.103200000005,12599.521499999999,0.018699999999625704,11463.0,992.0,-0.05994578941848952,Stable,0.9203532717784022,0,0,0,0,0,0,0,202606
84,EG892567447,Bright Boutique,EG,SME,Retail,Payment Links,Mai Ragab,Live - never transacted,2021-03-24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
85,EG899270559,Silver Telecom,EG,B2B,Telecom & Utilities,Payment Links,Nadia Fouad,Live - never transacted,2021-03-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
86,EG849029255,Prime Bakery,EG,SME,Unclassified,POS Terminal,Nadia Fouad,Active,2021-04-09,2026-06-30,142346.39179999998,168726.8184,577971.1788999999,18092.789900000003,8801.0424,-0.0012000000006079999,18060.0,1574.0,-0.15634993209828704,Stable,0.9198329428542324,0,0,0,0,0,0,0,202606
87,AE201167720,Zenith Logistics,AE,B2B,Logistics,Direct API,Layla Haddad,Active,2021-05-09,2026-06-30,361900.73230000003,402424.58869999996,1409121.1056,8311.607600000001,3071.1366,0.006200000000319701,270.0,9.0,-0.10069925530870011,Stable,0.967741935483871,0,0,0,0,0,0,0,202606
88,OM194734403,Prime Medical,OM,SME,Healthcare,POS Terminal,Salim Al-Harthy,Active,2021-04-22,2026-06-30,10199.9483,9921.8724,39922.9649,494.90229999999997,-8.868599999999995,329.5907,122.0,5.0,0.028026554745856216,Stable,0.9606299212598425,0,1,0,0,0,0,1,202606
89,AE984737156,Prime Consulting,AE,SME,Professional Services,Payment Links,Layla Haddad,Active,2021-03-31,2026-06-30,34782.4563,32613.9415,131809.7379,2868.7937,1274.5251999999998,0.007799999999889399,479.0,49.0,0.06649042404150989,Stable,0.9071969696969697,0,0,0,0,0,0,0,202606
90,EG179674340,Pearl Mart,EG,SME,Retail,Payment Links,Karim Ezzat,Onboarding (not live),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Onboarding (not live),,0,0,0,0,0,0,0,202606
91,OM107384993,Nova Stores,OM,Enterprise,Retail,Hosted Checkout,Salim Al-Harthy,Active,2021-04-14,2026-06-30,197905.9823,207546.3195,826204.4735000001,13479.479700000002,2080.4084000000003,0.035399999999981314,3781.0,275.0,-0.046449087717982916,Stable,0.9321992110453649,0,0,0,0,0,0,0,202606
92,AE535684565,Prime Grill,AE,SME,Food & Beverage,Payment Links,Yousef Al-Marri,Live - never transacted,2021-04-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
93,AE779021046,Nova Travel,AE,Online,Travel & Hospitality,Direct API,Layla Haddad,Active,2021-05-01,2026-06-30,859051.2519,728363.3758,3368160.2157,81156.4817,37176.572100000005,0.003399999998691699,1661.0,175.0,0.17942675379093379,Stable,0.9046840958605664,0,0,0,0,0,0,0,202606
94,OM730950792,Silver Shop,OM,Online,E-commerce,Direct API,Salim Al-Harthy,Active,2021-06-20,2026-06-30,11314.485700000001,13956.0989,60378.82979999999,1454.5647,511.4212,-0.08249999999993891,255.0,24.0,-0.18928020064403525,Stable,0.9139784946236559,0,0,0,0,0,0,0,202606
