dimension_value,month_key,fiscal_year,gmv,refunds,revenue,cogs,gp,success_txn,failed_txn,active_merchants,dimension_name,date_key,gp_margin,take_rate,success_rate,gmv_yoy,gmv_rank
AE,202505,2025,28158184.8877,638140.0086000001,519083.4772,383353.06100000005,135730.4162,678734,53697,127,country,20250501,0.26148090270980406,0.018434550354371207,0.9266866093870958,,2.0
AE,202506,2025,30164083.9832,656595.2589,550912.2769,407530.0945,143382.1824,699482,55322,132,country,20250601,0.2602631823832568,0.018263849059922812,0.9267068007058786,,2.0
AE,202507,2026,30477776.9801,683578.8104,562593.9818,415254.38049999997,147339.6013,712422,56753,141,country,20250701,0.2618933121690923,0.018459154096682875,0.9262157506419215,0.3330380056208714,2.0
AE,202508,2026,30462840.4773,683700.9071000001,567044.9650000001,417458.4512,149586.51380000002,723747,57055,141,country,20250801,0.2638000917616824,0.01861431685671417,0.9269276974188079,0.3813909674597562,2.0
AE,202509,2026,30883866.1458,690392.5586,569422.0131,418299.81680000003,151122.1963,719441,56562,143,country,20250901,0.26539577470367387,0.018437523670508382,0.9271111065292273,0.3830053044012476,2.0
AE,202510,2026,30193262.5462,656216.6062,558003.329,410269.10589999997,147734.2231,704075,92307,144,country,20251001,0.26475509270662434,0.01848105444538083,0.8840920563247285,0.3173442258772581,2.0
AE,202511,2026,33019785.1145,729978.8834,617245.4909,452212.2642,165033.2267,754300,60012,150,country,20251101,0.26737048570313016,0.01869320132640562,0.9263034316085235,0.31756416638395824,2.0
AE,202512,2026,32258364.3048,789590.3973000001,591658.3176000001,433673.57420000003,157984.7434,712866,58179,152,country,20251201,0.2670202356671813,0.018341237392249368,0.92454526000428,0.31908907668910436,2.0
AE,202601,2026,27930656.2793,672135.6139,516463.33629999997,377826.4754,138636.8609,647252,52322,154,country,20260101,0.26843504883272,0.01849091303603782,0.9252087699085444,0.2770270907243944,2.0
AE,202602,2026,31310899.676400002,657674.8317,579102.7646,423105.7244,155997.0402,719238,58974,155,country,20260201,0.26937712913139145,0.018495245125022316,0.924218593391004,0.25931232199502174,2.0
AE,202603,2026,32544934.33,775371.598,600975.0217,439720.37069999997,161254.65099999998,731447,58008,158,country,20260301,0.2683217191687153,0.018466008122991352,0.9265214610079106,0.11631402536596726,3.0
AE,202604,2026,30291996.5482,777374.8739,557820.9932,407635.40400000004,150185.5892,669102,55021,159,country,20260401,0.2692361725908597,0.018414797859639485,0.9240170523516033,0.10110266229710942,3.0
AE,202605,2026,29730652.8693,766124.853,552697.9661,403543.35370000004,149154.61239999998,655907,54927,167,country,20260501,0.26986640362091247,0.018590172524287827,0.9227287946271563,0.05584408184942644,3.0
AE,202606,2026,30001396.9982,985909.8265,561274.4042,410020.07409999997,151254.33010000002,658271,55233,169,country,20260601,0.2694837479994959,0.01870827562575419,0.9225890814907836,-0.00539340047888106,3.0
EG,202407,2025,17004154.6028,167302.3384,328582.9623,250885.0255,77697.9368,1201871,128242,176,country,20240701,0.23646368106286925,0.019323687062095616,0.9035856352054299,,3.0
EG,202408,2025,17234082.1134,261290.6062,335952.82769999997,256853.7272,79099.1005,1239560,131903,182,country,20240801,0.23544704487689005,0.019493514391392325,0.9038231436064991,,3.0
EG,202409,2025,18866800.1194,255081.431,361979.8904,278829.5454,83150.345,1370394,141511,184,country,20240901,0.2297098463346018,0.01918607756000924,0.9064021879681594,,3.0
EG,202410,2025,18743762.111700002,274356.3662,359238.7256,277918.9497,81319.77590000001,1417868,145852,190,country,20241001,0.22636695351866598,0.01916577491003049,0.9067275471312,,3.0
EG,202411,2025,20019990.5298,306509.4054,388295.904,299866.2606,88429.6434,1510132,152174,194,country,20241101,0.22773777031652645,0.019395408974945155,0.9084560844994845,,3.0
EG,202412,2025,20789665.1756,318185.8171,398591.9743,307832.0758,90759.8985,1536436,155426,200,country,20241201,0.22770126934791118,0.019172601912214128,0.9081331692537571,,3.0
EG,202501,2025,20114296.8262,310245.2512,384149.4422,296399.4331,87750.0091,1510939,157244,202,country,20250101,0.2284267513118362,0.019098328195078826,0.9057393583317898,,3.0
EG,202502,2025,21040409.8424,289238.3709,404644.9902,311940.913,92704.0772,1583963,164410,206,country,20250201,0.22909977744733734,0.019231801720162867,0.90596400196068,,3.0
EG,202503,2025,25061492.2284,380462.2846,479417.33,372075.7533,107341.5767,1901010,196665,213,country,20250301,0.22390007616120178,0.019129640231746386,0.9062462011512746,,3.0
EG,202504,2025,22393039.9538,350709.3998,427183.5352,329078.538,98104.9972,1646018,171617,215,country,20250401,0.2296553802198133,0.01907662095371329,0.9055822538628493,,3.0
EG,202505,2025,22356747.5953,338708.7313,427867.4042,328901.0951,98966.3091,1665779,173728,215,country,20250501,0.23130135207434435,0.019138177517822378,0.9055573042124874,,3.0
EG,202506,2025,23394593.7054,348681.1363,444087.1881,341940.1474,102147.0407,1712668,178853,223,country,20250601,0.2300157343809667,0.01898247063797029,0.905444877429328,,3.0
EG,202507,2026,24015707.3437,374454.3544,457385.6382,351063.9581,106321.6801,1760033,185044,233,country,20250701,0.23245522207129066,0.01904527031638671,0.9048654629096946,0.41234350690656724,3.0
EG,202508,2026,24001316.1625,388624.1238,461980.51420000003,353143.10599999997,108837.4082,1785914,187336,237,country,20250801,0.23558874206733804,0.019248132522074142,0.9050622070188775,0.39266576569449435,3.0
EG,202509,2026,25745861.4166,372288.3736,488680.4365,373187.2937,115493.1428,1849266,190547,242,country,20250901,0.23633674314277567,0.018980931676456418,0.9065860448972528,0.3646119773181108,3.0
EG,202510,2026,25919666.9247,412988.20910000004,494635.8261,378615.2768,116020.5493,1894513,199832,247,country,20251001,0.23455751318050352,0.019083417527585574,0.9045849657052683,0.38284229015693394,3.0
EG,202511,2026,28457164.1128,494682.1014,539504.135,411258.6914,128245.4436,2002453,211772,261,country,20251101,0.23770984368822307,0.018958464478803484,0.9043584098273663,0.421437441263579,3.0
EG,202512,2026,28419557.0564,510290.9294,537675.5661,410620.1428,127055.4233,2018308,209258,269,country,20251201,0.23630499749428727,0.018919209931138496,0.9060597980037404,0.3670040770909048,3.0
EG,202601,2026,27589182.7186,451936.6425,524569.9435,399991.69299999997,124578.2505,1987567,215472,272,country,20260101,0.23748644397884758,0.01901360938634644,0.9021932884529053,0.3716205421938261,3.0
EG,202602,2026,30941537.5444,481784.9861,582975.6871,445243.6711,137732.016,2213145,243823,277,country,20260201,0.23625687837025408,0.018841199674174264,0.9007626472953657,0.4705767509360747,3.0
EG,202603,2026,33616360.1958,550323.1072,630084.6852000001,483347.914,146736.7712,2351237,267365,284,country,20260301,0.23288420532459558,0.01874339403582195,0.8978978095945852,0.3413550912864444,2.0
EG,202604,2026,32118266.4479,530098.1616999999,598885.2209,458548.5749,140336.646,2178615,259026,290,country,20260401,0.23432978658097992,0.018646249848866207,0.8937390698630356,0.4342968401862594,2.0
EG,202605,2026,32243887.522200003,492767.641,598448.3467999999,458804.5833,139643.7635,2200343,268375,298,country,20260501,0.2333430516546629,0.018560055650484658,0.8912897301352362,0.4422441092897855,2.0
EG,202606,2026,33825159.6362,731326.3893,623292.5188,480216.70769999997,143075.8111,2266916,284413,306,country,20260601,0.22954841713078492,0.018426890678527545,0.8885235890784764,0.4458536900511502,2.0
OM,202407,2025,3020329.1276,33650.5071,46604.4737,36425.623,10178.850699999999,69118,7345,43,country,20240701,0.21840930477024137,0.015430263302805227,0.9039404679387416,,4.0
OM,202408,2025,3086987.6975,57303.3549,48698.7524,37351.9111,11346.8413,71262,7532,43,country,20240801,0.23300065691210603,0.01577549286621347,0.9044089651496307,,4.0
OM,202409,2025,3097407.8792,55879.8958,49509.7247,37808.6587,11701.066,73496,7669,44,country,20240901,0.2363387409423426,0.015984244449196466,0.9055134602353231,,4.0
OM,202410,2025,3329029.8586,62369.128,52265.4862,40063.3281,12202.1581,76153,7849,44,country,20241001,0.23346493043816746,0.01569991511640568,0.9065617485297969,,4.0
OM,202411,2025,3473969.2323,74110.7412,56914.5906,42722.934,14191.6566,83197,8611,44,country,20241101,0.24935006033408944,0.016383159088118562,0.9062064308121297,,4.0
OM,202412,2025,3433768.8432,70796.0208,56118.3095,42449.1002,13669.2093,82654,8599,44,country,20241201,0.24357842247546677,0.016343065611749856,0.9057674816170427,,4.0
OM,202501,2025,3146511.5736,70989.85710000001,51973.029200000004,39705.5634,12267.4658,77097,8011,45,country,20250101,0.23603522805632424,0.016517666623592428,0.90587253842177,,4.0
OM,202502,2025,3377540.3649,58996.6968,53682.7302,40551.7046,13131.025599999999,80275,8494,46,country,20250201,0.244604280577369,0.01589403068513421,0.9043134427559171,,4.0
OM,202503,2025,3589688.5296,64749.8828,58605.3846,43922.4428,14682.9418,87022,9346,47,country,20250301,0.2505391253758618,0.016326036121727366,0.9030175992030549,,4.0
OM,202504,2025,3449419.6856,63269.4925,54599.7925,41170.9489,13428.8436,81648,8776,47,country,20250401,0.24595045118532272,0.015828689309083824,0.9029461204989826,,4.0
OM,202505,2025,3402573.4965,68504.1341,55884.9939,42385.4078,13499.5861,82665,8583,48,country,20250501,0.24156012478333652,0.01642433115919029,0.9059376643871646,,4.0
OM,202506,2025,3461891.8091,62865.485700000005,56709.5439,43339.5019,13370.042,87695,9377,51,country,20250601,0.2357635255112676,0.01638108497525316,0.903401598813252,,4.0
OM,202507,2026,3988081.69,77136.6191,61991.442200000005,48854.765699999996,13136.6765,97755,10264,51,country,20250701,0.2119111289203076,0.015544175625951133,0.9049796795008286,0.3204129488924246,4.0
OM,202508,2026,3914776.4624,75348.8168,64584.9926,50892.9962,13691.9964,104183,10858,53,country,20250801,0.21199965888050595,0.01649774724567681,0.9056162585512991,0.26815421570043374,4.0
OM,202509,2026,4469155.6303,70920.5984,72459.6635,58080.7935,14378.869999999999,125809,12798,54,country,20250901,0.19843964635579628,0.016213278188107316,0.9076670009451182,0.4428695879259842,4.0
OM,202510,2026,4640347.961,81805.1758,74749.0735,60220.2743,14528.7992,133327,13929,55,country,20251001,0.19436761580730497,0.016108506113815545,0.9054096267724235,0.3939039774643132,4.0
OM,202511,2026,4970018.7517,88473.0045,83263.4871,66980.5362,16282.9509,146349,15256,55,country,20251101,0.1955593197825605,0.01675315351104453,0.9055969802914514,0.43064558703921374,4.0
OM,202512,2026,4959833.1864,98752.35429999999,80660.1303,64764.4626,15895.6677,141725,14944,57,country,20251201,0.1970697002456987,0.016262669986799618,0.9046141865972209,0.4444283855106068,4.0
OM,202601,2026,4853184.083099999,79189.519,78510.5589,62996.9703,15513.588600000001,136458,14260,61,country,20260101,0.19759875381552022,0.016177123627639307,0.9053862179699836,0.5424014720998959,4.0
OM,202602,2026,5432094.4323,97433.7847,89244.55069999999,70284.5092,18960.0415,152573,15872,62,country,20260201,0.21245041127200162,0.016429123575124042,0.9057733978449939,0.6082988937012542,4.0
OM,202603,2026,5483550.9464,117397.42480000001,92758.6729,72881.4386,19877.2343,158864,16573,65,country,20260301,0.2142897658899128,0.016915803975687854,0.9055330403506672,0.5275840511463632,4.0
OM,202604,2026,5760241.0644000005,101145.3055,93060.3128,72913.45420000001,20146.8586,160934,16230,68,country,20260401,0.216492487439823,0.016155628168956392,0.9083899663588539,0.6699159828091638,4.0
OM,202605,2026,5916781.0399,103553.368,96711.9928,75880.5014,20831.4914,162278,16198,67,country,20260501,0.2153971890857366,0.016345372956649843,0.9092426992985051,0.7389135153101609,4.0
OM,202606,2026,5869241.065,150114.4585,95924.5537,75611.9676,20312.5861,165262,16334,70,country,20260601,0.21175585724929988,0.016343604332769043,0.9100530848697108,0.6953854680183801,4.0
SA,202407,2025,24619376.5749,288474.8268,387022.8264,288488.2651,98534.5613,499933,42045,141,country,20240701,0.25459625267208785,0.015720252916338197,0.9224230503821188,,1.0
SA,202408,2025,28926166.144,502294.6778,449729.1904,338475.84599999996,111253.3444,524764,43485,142,country,20240801,0.24737852639951743,0.015547486941793871,0.9234754482629974,,1.0
SA,202409,2025,30148501.5667,494766.63649999996,466991.7087,351710.1784,115281.5303,541277,44613,146,country,20240901,0.24685990811468125,0.015489715389895449,0.9238543071224974,,1.0
SA,202410,2025,27251818.9775,486645.7234,424653.0437,317317.0564,107335.9873,532664,44859,151,country,20241001,0.2527616106663973,0.015582557775339971,0.9223251714650326,,1.0
SA,202411,2025,29141245.6519,517543.4413,470662.7059,349038.5564,121624.1495,585812,48795,155,country,20241101,0.2584104242281755,0.01615108398323779,0.9231098932094982,,1.0
SA,202412,2025,28745532.6378,561843.4744000001,466787.0106,349410.5902,117376.4204,592240,49741,162,country,20241201,0.2514560554054972,0.016238593192257678,0.9225195138173872,,1.0
SA,202501,2025,31364723.5262,526026.624,496101.4693,380010.32899999997,116091.1403,625849,53371,167,country,20250101,0.23400684634900354,0.015817179733326515,0.921423102971055,,1.0
SA,202502,2025,31865981.6645,524860.9345,512668.4792,391850.2553,120818.2239,663283,58202,172,country,20250201,0.23566540328075625,0.01608826881900624,0.9193302702065878,,1.0
SA,202503,2025,34519779.2531,607615.6573,565099.2884,428788.1529,136311.1355,745172,66294,177,country,20250301,0.2412162575641283,0.016370304232152702,0.9183034162860798,,1.0
SA,202504,2025,33591485.7329,590117.308,547299.6135,417988.345,129311.26849999999,708742,61702,181,country,20250401,0.2362714412916354,0.016292807583796944,0.9199137120932864,,1.0
SA,202505,2025,33705881.139299996,624441.2632,547894.6806,417196.1368,130698.5438,699154,61997,185,country,20250501,0.23854683833920765,0.016255165629275658,0.9185483563708121,,1.0
SA,202506,2025,33180606.5752,636853.8328,547975.8119,415037.5711,132938.2408,716324,63440,195,country,20250601,0.2425987386907871,0.016514942566166663,0.9186420506717418,,1.0
SA,202507,2026,34450260.9758,670596.0106,565909.137,428477.7004,137431.43660000002,733582,64964,200,country,20250701,0.24285071156219912,0.01642684615357572,0.918647141179093,0.39931492054607115,1.0
SA,202508,2026,39270024.8544,738486.8404,637960.0003,485394.0095,152565.9908,768746,66846,208,country,20250801,0.2391466404292683,0.016245469735895007,0.920001627588584,0.35759521876858097,1.0
SA,202509,2026,41080852.7515,731591.9795,660549.2471,504660.4611,155888.786,801735,69515,211,country,20250901,0.2359987339087832,0.016079248673236977,0.9202123385939742,0.36261673438772624,1.0
SA,202510,2026,38106055.0083,781843.6707,619090.5726,474027.5739,145062.9987,798963,106360,218,country,20251001,0.23431627797331445,0.01624651443097833,0.8825170684937862,0.3982940015769815,1.0
SA,202511,2026,41208930.4478,798145.4993,676103.4726,516156.0077,159947.4649,871129,77189,221,country,20251101,0.2365724646922927,0.016406722165634238,0.9186043078376662,0.41411012212901727,1.0
SA,202512,2026,38107507.6842,781125.7631,616243.9915,470369.1376,145874.8539,831336,73179,227,country,20251201,0.23671606686975705,0.016171196411134098,0.9190958690568979,0.3256845216389945,1.0
SA,202601,2026,37272191.2552,668787.1623,605865.9985,463248.732,142617.2665,816930,71279,232,country,20260101,0.2353940753451937,0.01625517518816319,0.9197497435851246,0.18834751481438353,1.0
SA,202602,2026,37655601.8567,643492.8389,620256.0421,471524.4428,148731.5993,871001,78786,235,country,20260201,0.23979064967499494,0.016471813263280476,0.9170487698820894,0.18168654752757463,1.0
SA,202603,2026,39039200.2569,720563.9115,644362.8914,488290.9078,156071.9836,906252,82047,242,country,20260301,0.24221131552269276,0.0165055351328851,0.9169816017217461,0.1309226507696783,1.0
SA,202604,2026,38110510.3936,672755.5208,625637.2685,474083.7942,151553.4743,870382,78343,248,country,20260401,0.2422385652685906,0.016416397000158383,0.9174228569922791,0.13452887129294197,1.0
SA,202605,2026,37963230.5573,699761.982,627772.4209,474721.821,153050.5999,917216,83367,252,country,20260501,0.24379949613042964,0.01653632769614979,0.9166815746419837,0.1263088005444863,1.0
SA,202606,2026,37917225.7887,904011.2804,622194.0806999999,471604.563,150589.5177,938464,85550,253,country,20260601,0.24202981412259522,0.016409272243894612,0.9164562203251128,0.14275264084654396,1.0
GW-ATLAS,202407,2025,11819777.9428,144196.8502,267952.7754,237404.5471,30548.2283,650949,80318,258,gateway,20240701,0.11400601562867783,0.022669865432050948,0.8901659722098768,,3.0
GW-ATLAS,202408,2025,12003088.0164,227130.6555,273875.4661,241830.3268,32045.139300000003,665998,82151,262,gateway,20240801,0.11700624286039325,0.022817083880897968,0.8901943329470466,,3.0
GW-ATLAS,202409,2025,12223182.9989,211505.873,279005.8639,245682.5857,33323.2782,688053,83143,264,gateway,20240901,0.11943576286964197,0.02282595817514215,0.8921895341780819,,3.0
GW-ATLAS,202410,2025,12195255.703,219627.3131,277897.0536,246067.2155,31829.8381,687711,84201,270,gateway,20241001,0.11453823524813364,0.022787308472067384,0.8909189130367192,,3.0
GW-ATLAS,202411,2025,13131488.692,249380.9612,302180.6516,264746.1446,37434.507,735119,89579,278,gateway,20241101,0.12388121741676726,0.02301191119207187,0.8913796323017638,,3.0
GW-ATLAS,202412,2025,13626809.2288,254044.2242,311072.9246,274667.7328,36405.1918,758202,91120,290,gateway,20241201,0.11703105259582594,0.022828009064847943,0.8927144239758301,,3.0
GW-ATLAS,202501,2025,14045693.8972,248238.3806,316155.9499,282793.4838,33362.4661,763349,95757,295,gateway,20250101,0.10552534630631664,0.022509101523494366,0.8885387833398906,,3.0
GW-ATLAS,202502,2025,15040978.1787,232724.634,337292.4452,302689.16229999997,34603.2829,809231,100977,300,gateway,20250201,0.10259133696125844,0.022424900906887188,0.8890616210800169,,3.0
GW-ATLAS,202503,2025,17206567.0365,282561.1431,388025.7005,348571.7841,39453.9164,949774,118225,310,gateway,20250301,0.10167861651730979,0.022551023668863617,0.8893023308074258,,3.0
GW-ATLAS,202504,2025,16197553.0845,279241.9673,361703.2745,325215.4112,36487.8633,836474,103634,310,gateway,20250401,0.10087789044884635,0.022330735550799116,0.8897637292736579,,3.0
GW-ATLAS,202505,2025,16080624.7405,301233.18929999997,360939.2509,323738.6269,37200.624,838496,103927,316,gateway,20250501,0.10306616392437358,0.02244559877023641,0.8897236166774368,,3.0
GW-ATLAS,202506,2025,17067353.261800002,311637.2098,381090.4222,342899.64139999996,38190.7808,868138,108091,328,gateway,20250601,0.1002144860517043,0.02232861864135391,0.8892770036538558,,3.0
GW-ATLAS,202507,2026,17561308.2027,353131.722,391827.6911,352367.928,39459.7631,890613,112051,336,gateway,20250701,0.10070692806121583,0.02231198761375634,0.8882467107625286,0.4857561865954888,3.0
GW-ATLAS,202508,2026,17635685.260700002,373446.2123,397875.8624,355589.7166,42286.1458,907402,113524,348,gateway,20250801,0.10627974651422332,0.02256083937303196,0.8888029102990814,0.46926234620658447,3.0
GW-ATLAS,202509,2026,18454195.7594,318592.3441,414677.0038,370661.8573,44015.1465,953815,115626,355,gateway,20250901,0.10614320566767826,0.022470608267432968,0.8918818335934381,0.5097700624346986,3.0
GW-ATLAS,202510,2026,18285590.9422,350654.6438,412826.8448,370025.7195,42801.1253,971899,122634,359,gateway,20251001,0.10367815426522378,0.022576620362170882,0.8879576951996879,0.499402012349917,3.0
GW-ATLAS,202511,2026,20411900.949,404771.8529,460902.2333,410304.3562,50597.8771,1037612,130507,372,gateway,20251101,0.10978006493421778,0.022580073970160045,0.8882759376399151,0.5544239825173358,3.0
GW-ATLAS,202512,2026,18527163.6194,370544.7087,418565.2887,374405.75399999996,44159.534700000004,1014113,123305,383,gateway,20251201,0.10550214241881545,0.02259197885323988,0.8915921851069704,0.35961128598198855,4.0
GW-ATLAS,202601,2026,17884330.3457,287867.272,406127.7939,363117.6162,43010.1777,1012298,127934,390,gateway,20260101,0.10590306387794357,0.022708582655858116,0.8878000266612409,0.273296319611894,4.0
GW-ATLAS,202602,2026,19576038.4294,302304.9989,446017.1543,397686.5042,48330.6501,1114235,139552,396,gateway,20260201,0.10836051850035311,0.022783831157082084,0.8886956077866496,0.30151365136093616,4.0
GW-ATLAS,202603,2026,21222234.4243,365076.381,480127.7548,428765.8498,51361.905,1186187,149023,407,gateway,20260301,0.10697549659755683,0.02262380789886297,0.8883898412983725,0.23337992867965082,3.0
GW-ATLAS,202604,2026,20504675.5622,351466.813,462197.1768,412411.3817,49785.7951,1115010,138978,415,gateway,20260401,0.10771548940365575,0.022541062666314615,0.8891711882410358,0.26591192232743066,3.0
GW-ATLAS,202605,2026,20582960.736500002,337533.1289,464279.2996,414354.3914,49924.9082,1123957,140883,430,gateway,20260501,0.10753205719706396,0.022556487647410615,0.8886159514246861,0.2799851416630975,3.0
GW-ATLAS,202606,2026,21390026.6014,501745.8419,481080.053,430806.349,50273.704,1163917,142802,437,gateway,20260601,0.10450174287313467,0.0224908580977881,0.8907171319924176,0.2532714518351809,3.0
GW-NILE,202407,2025,10614496.9866,111526.2012,177568.2966,115364.429,62203.8676,671200,63795,173,gateway,20240701,0.35030953605487253,0.016728847049857054,0.9132034911802122,,4.0
GW-NILE,202408,2025,10672587.447900001,179915.6433,180512.0895,117548.6463,62963.4432,694687,65956,179,gateway,20240801,0.34880457798922104,0.016913620092709438,0.9132891514153157,,4.0
GW-NILE,202409,2025,11866512.5785,167418.1046,197938.8814,131763.9414,66174.94,806565,74566,181,gateway,20240901,0.33432006653746804,0.01668045940966935,0.9153746718705845,,4.0
GW-NILE,202410,2025,11977767.821899999,180333.3551,199481.9391,134299.3359,65182.6032,856026,78172,187,gateway,20241001,0.326759422402266,0.01665435013152198,0.9163218075825468,,4.0
GW-NILE,202411,2025,12662316.4298,192786.9003,215207.627,144714.4951,70493.1319,912630,80961,191,gateway,20241101,0.32755870636499324,0.016995912887907444,0.9185167740045954,,4.0
GW-NILE,202412,2025,13167502.0429,210115.8807,219684.0238,147778.5777,71905.4461,924037,83666,197,gateway,20241201,0.3273130419600408,0.016683804041515603,0.9169735527233719,,4.0
GW-NILE,202501,2025,12749498.6788,194310.0244,209999.4465,140890.8544,69108.5921,910123,83158,199,gateway,20250101,0.3290894011951598,0.016471192459448565,0.9162794818384727,,4.0
GW-NILE,202502,2025,13319790.0943,184797.2717,221779.1752,148924.319,72854.8562,954960,87887,203,gateway,20250201,0.32850179073080077,0.016650350615878474,0.9157239748496184,,4.0
GW-NILE,202503,2025,15940448.1186,255874.8179,263967.0288,179008.5973,84958.4315,1150646,105806,210,gateway,20250301,0.3218524369737499,0.0165595739113502,0.915789859063458,,4.0
GW-NILE,202504,2025,14391674.3254,235724.0504,237888.5714,160656.1187,77232.4527,1003567,94132,212,gateway,20250401,0.3246581046137637,0.016529596627971786,0.9142460729216297,,4.0
GW-NILE,202505,2025,14542026.1115,230622.9226,240995.8261,162790.5646,78205.2615,1016349,95691,212,gateway,20250501,0.3245087799468739,0.01657236923192001,0.9139500377684256,,4.0
GW-NILE,202506,2025,15211477.549,243781.1375,249817.4284,168800.2212,81017.2072,1043210,98083,219,gateway,20250601,0.32430566481645845,0.016422956126074875,0.914059755032231,,4.0
GW-NILE,202507,2026,15676370.6921,256395.4772,258562.7239,174304.8986,84257.8253,1074196,100974,229,gateway,20250701,0.3258699631141997,0.01649378730437275,0.9140771122475897,0.4768830507833044,4.0
GW-NILE,202508,2026,15641328.3157,267239.2421,260580.2187,174840.0979,85740.1208,1086287,102409,233,gateway,20250801,0.32903541653217594,0.016659724381492734,0.91384761116383,0.4655610358833534,4.0
GW-NILE,202509,2026,16769407.1262,258402.987,274985.2118,184009.3807,90975.8311,1123182,105373,238,gateway,20250901,0.3308389949571826,0.016398028250526022,0.9142301321471159,0.4131706358768934,4.0
GW-NILE,202510,2026,17003727.7596,286636.49820000003,280681.6934,188904.3185,91777.3749,1152885,108008,242,gateway,20251001,0.3269802664657858,0.016507068177537255,0.9143400748517122,0.4196073936673408,4.0
GW-NILE,202511,2026,18894207.0653,346468.8492,310389.6032,208945.2434,101444.3598,1224530,116223,255,gateway,20251101,0.32682911654948116,0.01642776551179242,0.9133151296323783,0.4921603934042921,4.0
GW-NILE,202512,2026,18907959.7584,349990.2057,309427.1553,208678.8378,100748.3175,1232818,117253,264,gateway,20251201,0.32559623735131177,0.016364915054493633,0.9131504935666347,0.43595647046778263,3.0
GW-NILE,202601,2026,18357215.789,324272.9338,301184.4096,202457.08,98727.3296,1202869,118735,267,gateway,20260101,0.3277969458350078,0.01640686763514953,0.9101584135641236,0.43983824395578563,3.0
GW-NILE,202602,2026,20636882.5671,337739.8783,334990.2791,225186.3531,109803.92599999999,1342763,138458,272,gateway,20260201,0.3277824248960423,0.016232600927528297,0.9065244146552067,0.5493399236021923,2.0
GW-NILE,202603,2026,22038400.3798,380298.6291,356397.3062,239620.4961,116776.8101,1419497,153617,278,gateway,20260301,0.32765907056117927,0.016171650394675077,0.9023484629848822,0.3825458491398775,2.0
GW-NILE,202604,2026,20938028.8757,362345.3294,336333.0685,225372.1131,110960.9554,1307313,153973,285,gateway,20260401,0.329913903187905,0.01606326318951338,0.8946318516703781,0.4548709484584624,2.0
GW-NILE,202605,2026,21052687.741,334597.0183,335369.2148,224891.2051,110478.0097,1321140,161877,293,gateway,20260501,0.3294220364438769,0.015929995206591614,0.8908461602260797,0.44771351526808867,2.0
GW-NILE,202606,2026,22037604.262000002,499029.0414,347830.6448,234255.403,113575.2418,1351912,176690,301,gateway,20260601,0.3265245414627136,0.015783505351340443,0.8844107230004933,0.44874843295211314,2.0
GW-NIMBUS,202407,2025,29007234.8432,395757.1041,445693.2113,312598.0149,133095.1964,534904,40164,253,gateway,20240701,0.2986251372592984,0.015364898230017998,0.9301578248137612,,1.0
GW-NIMBUS,202408,2025,30827302.775200002,594363.2061,473532.5414,334227.5971,139304.9443,551050,40337,258,gateway,20240801,0.29418241012147683,0.015360816509089735,0.9317925487033025,,1.0
GW-NIMBUS,202409,2025,31654012.0339,605133.1442,483470.0293,341243.4472,142226.5821,565405,42086,265,gateway,20240901,0.2941786946047619,0.015273578236535251,0.9307216073982989,,1.0
GW-NIMBUS,202410,2025,31149769.1853,627602.8254,475760.2593,334604.6727,141155.5866,574166,42550,272,gateway,20241001,0.2966947823840654,0.015273315717681714,0.9310055195584354,,1.0
