txn_date,mid,payment_method,gateway,status,txn_count,amount_local,currency,revenue_local,cost_local,gp_local,status_std,dq_failed_rules
2025-07-26,XX803790324,LDEBIT,GW-NILE,Success,5,2894.86,EGP,43.06,20.51,22.55,Success,DQ-T04
2026-06-17,AE984737156,CARD,GW-NIMBUS,Success,0,1444.99,AED,36.33,20.94,15.39,Success,DQ-T08
2024-12-13,AE836534480,CARD,GW-NIMBUS,UNKNOWN,2,714.3,AED,0.0,0.11,-0.11,,DQ-T05
2024-07-26,EG806758000,WALLET,GW-NILE,Success,2,1909.28,EGP,2672.99,18.83,2654.16,Success,DQ-T09
2024-08-06,EG728358410,BNPL,GW-NILE,PENDING_REVIEW,1,1546.57,EGP,0.0,0.39,-0.39,,DQ-T05
,OM284198769,LDEBIT,GW-NIMBUS,Success,104,1556.77,OMR,14.06,8.8,5.26,Success,DQ-T02
,AE711049967,BANKTR,GW-NIMBUS,Captured,1,14772.79,AED,31.83,8.73,23.1,Success,DQ-T02
,EG550259154,LDEBIT,GW-NILE,Success,3,1110.15,EGP,19.52,9.8,9.72,Success,DQ-T02
2025-04-15,SA742513174,TOKEN,GW-ATLAS,Success,1,53.68,SAR,75.15,1.09,74.06,Success,DQ-T09
2025-09-28,SA110751010,CARD,GW-ORION,Success,25,1847.17,SAR,2586.04,29.26,2556.78,Success,DQ-T09
2026-03-20,AE957433919,TOKEN,GW-NIMBUS,UNKNOWN,1359,206798.13,AED,4495.31,3219.58,1275.73,,DQ-T05
2025-08-02,SA865281392,LDEBIT,GW-NIMBUS,PENDING_REVIEW,1,374.69,SAR,0.0,0.06,-0.06,,DQ-T05
2026-06-20,EG792191738,WALLET,GW-NILE,UNKNOWN,32,25139.78,EGP,564.39,261.24,303.15,,DQ-T05
2026-06-05,AE779021046,TOKEN,GW-ORION,PENDING_REVIEW,3,7936.54,AED,194.12,106.21,87.91,,DQ-T05
2025-04-16,SA466668047,BNPL,GW-ATLAS,Success,0,1908.94,SAR,88.12,69.42,18.7,Success,DQ-T08
2026-01-08,EG744158614,CARD,GW-NILE,UNKNOWN,11,18608.36,EGP,481.89,255.54,226.35,,DQ-T05
2026-04-07,AE595956042,TOKEN,GW-ORION,Success,13,3925.01,AED,5495.01,55.04,5439.97,Success,DQ-T09
,EG989134753,TOKEN,GW-ATLAS,CAPTURED,14,102311.32,EGP,1759.52,1599.28,160.24,Success,DQ-T02
2025-08-19,EG760725891,TOKEN,GW-NILE,Success,9,-8697.28,EGP,-238.03,-133.18,-104.85,Success,DQ-T07
,SA320986752,TOKEN,GW-ORION,Success,60,49730.68,SAR,827.31,674.81,152.5,Success,DQ-T02
2025-07-24,XX526289475,LDEBIT,GW-NIMBUS,Refunded,4,64.53,OMR,0.0,0.23,-0.23,Refunded,DQ-T04
2025-01-29,EG573406141,CARD,GW-NILE,PENDING_REVIEW,3,2814.89,EGP,84.85,41.99,42.86,,DQ-T05
,OM805525842,TOKEN,GW-NIMBUS,Success,33,420.66,OMR,10.92,6.71,4.21,Success,DQ-T02
2025-10-11,EG266138287,WALLET,GW-NILE,Success,0,1596.35,EGP,43.45,23.5,19.95,Success,DQ-T08
,SA597658531,CARD,GW-ATLAS,Voided,13,2012.46,SAR,0.0,0.98,-0.98,Voided,DQ-T02
2026-03-30,XX742341702,CARD,GW-NILE,Failed,1,316.63,EGP,0.0,0.41,-0.41,Failed,DQ-T04
2026-01-06,AE410140017,LDEBIT,GW-NIMBUS,Success,383,61599.1,AED,86238.74,340.49,85898.25,Success,DQ-T09
2025-02-03,XX548915554,TOKEN,GW-ATLAS,Failed,1,400.53,EGP,0.0,0.98,-0.98,Failed,DQ-T04
,EG645057217,TOKEN,GW-ATLAS,Success,4,7088.06,EGP,191.15,121.79,69.36,Success,DQ-T02
2025-10-19,SA138780824,CARD,GW-ATLAS,Success,0,924.73,SAR,24.67,15.15,9.52,Success,DQ-T08
2026-06-24,SA404185012,CARD,GW-ORION,UNKNOWN,9,3070.05,SAR,72.56,41.37,31.19,,DQ-T05
2024-08-21,EG537339465,TOKEN,GW-ATLAS,Success,215,86558.01,EGP,121181.21,2079.48,119101.73,Success,DQ-T09
,AE486272694,CARD,GW-ATLAS,Success,5,1445.92,AED,34.74,22.44,12.3,Success,DQ-T02
,AE226845726,TOKEN,GW-ORION,Success,9,1018.74,AED,25.72,15.52,10.2,Success,DQ-T02
2025-07-13,EG357144481,CARD,GW-NILE,Success,1,444.27,EGP,621.98,8.06,613.92,Success,DQ-T09
,EG308894080,CARD,GW-ATLAS,Failed,1,3104.65,EGP,0.0,0.97,-0.97,Failed,DQ-T02
2026-01-16,SA700672253,LDEBIT,GW-NIMBUS,PENDING_REVIEW,1,43.23,SAR,0.0,0.06,-0.06,,DQ-T05
2025-08-16,XX311562937,WALLET,GW-NILE,Failed,1,1081.11,EGP,0.0,0.4,-0.4,Failed,DQ-T04
2026-03-21,XX864931006,CARD,GW-ORION,Voided,2,194.94,SAR,0.0,0.09,-0.09,Voided,DQ-T04
,AE827819347,TOKEN,GW-NIMBUS,Voided,1,62.57,AED,0.0,0.06,-0.06,Voided,DQ-T02
,EG982441707,CARD,GW-NILE,Voided,1,403.44,EGP,0.0,0.41,-0.41,Voided,DQ-T02
2024-12-28,SA914955375,LDEBIT,GW-NIMBUS,CHARGEBACK?,2,360.39,SAR,4.23,1.96,2.27,,DQ-T05
2026-05-13,XX126842958,TOKEN,GW-ATLAS,Voided,1,294.11,EGP,0.0,1.03,-1.03,Voided,DQ-T04
2026-06-18,OM224536276,LDEBIT,GW-NIMBUS,APPROVED,0,23.05,OMR,0.4,0.22,0.18,Success,DQ-T08
,AE345303542,CARD,GW-ATLAS,Success,34,1612.25,AED,52.66,32.75,19.91,Success,DQ-T02
2026-01-15,EG877654092,WALLET,GW-NILE,PENDING_REVIEW,24,22091.62,EGP,0.0,9.7,-9.7,,DQ-T05
2025-12-28,OM436896345,TOKEN,GW-ATLAS,Success,0,55.1,OMR,1.97,1.35,0.62,Success,DQ-T08
,EG389371308,WALLET,GW-NILE,Success,7,16014.29,EGP,305.73,142.29,163.44,Success,DQ-T02
,AE265367413,LDEBIT,GW-NIMBUS,Voided,1,37.19,AED,0.0,0.06,-0.06,Voided,DQ-T02
2024-07-21,EG724883181,CARD,GW-ATLAS,CHARGEBACK?,66,21975.3,EGP,807.0,555.27,251.73,,DQ-T05
2025-03-31,EG761087060,TOKEN,GW-ATLAS,UNKNOWN,40,57312.14,EGP,1536.4,1012.77,523.63,,DQ-T05
2024-09-12,XX662043229,LDEBIT,GW-NIMBUS,DECLINED,2,85.99,AED,0.0,0.11,-0.11,Failed,DQ-T04
,SA887092113,TOKEN,GW-ATLAS,Success,2,305.65,SAR,8.11,5.18,2.93,Success,DQ-T02
2026-03-11,OM236113503,TOKEN,GW-ATLAS,PENDING_REVIEW,1,27.25,OMR,0.0,0.01,-0.01,,DQ-T05
,SA423374323,CARD,GW-NIMBUS,Success,52,4828.0,SAR,142.29,77.85,64.44,Success,DQ-T02
2024-08-24,EG474829702,LDEBIT,GW-NILE,PENDING_REVIEW,2,11545.85,EGP,143.97,50.15,93.82,,DQ-T05
2025-09-01,XX653545769,CARD,GW-ORION,Success,23,6657.03,AED,152.84,90.37,62.47,Success,DQ-T04
,SA512016562,LDEBIT,GW-NIMBUS,Declined,1,37.58,SAR,0.0,0.06,-0.06,Failed,DQ-T02
2025-12-17,EG518450463,CARD,GW-NILE,Success,2,-1941.27,EGP,-56.97,-28.98,-27.99,Success,DQ-T07
2024-07-22,EG849029255,WALLET,GW-NILE,UNKNOWN,26,10529.17,EGP,275.59,129.05,146.54,,DQ-T05
,SA487858809,CARD,GW-ATLAS,Voided,1,45.66,SAR,0.0,0.08,-0.08,Voided,DQ-T02
,SA189309853,CARD,GW-ORION,Refunded,2,684.37,SAR,0.0,1.12,-1.12,Refunded,DQ-T02
,EG178731082,CARD,GW-NILE,FAILED,8,5222.92,EGP,0.0,3.22,-3.22,Failed,DQ-T02
,AE713987880,LDEBIT,GW-NIMBUS,Success,4,541.54,AED,7.23,3.1,4.13,Success,DQ-T02
,EG873952802,TOKEN,GW-NILE,Refunded,2,1780.87,EGP,0.0,15.39,-15.39,Refunded,DQ-T02
2026-03-23,EG110254241,WALLET,GW-NILE,UNKNOWN,4,3098.27,EGP,67.57,32.32,35.25,,DQ-T05
,SA577673991,LDEBIT,GW-NIMBUS,Success,3,509.1,SAR,6.66,2.8,3.86,Success,DQ-T02
,EG775891339,TOKEN,GW-ATLAS,Success,5,4735.04,EGP,137.24,90.63,46.61,Success,DQ-T02
,SA860742247,TOKEN,GW-ATLAS,Success,524,100997.31,SAR,1787.74,1672.49,115.25,Success,DQ-T02
2025-10-05,AE200431265,CARD,GW-ORION,PENDING_REVIEW,3,1975.19,AED,42.98,25.98,17.0,,DQ-T05
2026-02-26,EG903275069,BNPL,GW-NILE,CHARGEBACK?,70,37026.78,EGP,1652.13,1095.1,557.03,,DQ-T05
2025-10-01,EG537272220,CARD,GW-ATLAS,Success,0,7014.11,EGP,176.89,120.89,56.0,Success,DQ-T08
,EG474518016,TOKEN,GW-ATLAS,Success,22,28418.62,EGP,747.43,511.93,235.5,Success,DQ-T02
,SA977935480,TOKEN,GW-ORION,Failed,2,206.79,SAR,0.0,0.09,-0.09,Failed,DQ-T02
2025-06-23,AE346681166,TOKEN,GW-NIMBUS,UNKNOWN,3,433.98,AED,0.0,0.17,-0.17,,DQ-T05
2025-07-25,EG920470377,BNPL,GW-NILE,Success,2,-3625.81,EGP,-160.19,-105.23,-54.96,Success,DQ-T07
,EG770407516,CARD,GW-NILE,Voided,10,2751.9,EGP,0.0,3.86,-3.86,Voided,DQ-T02
,OM371938797,TOKEN,GW-ATLAS,Refunded,1,4.5,OMR,0.0,0.06,-0.06,Refunded,DQ-T02
,AE832517070,CARD,GW-NIMBUS,Success,24,5596.46,AED,134.23,81.28,52.95,Success,DQ-T02
2024-12-11,SA118340145,TOKEN,GW-ORION,Success,5,-312.66,SAR,-9.74,-5.27,-4.47,Success,DQ-T07
,EG911025364,WALLET,GW-NILE,FAILED,4,873.68,EGP,0.0,1.61,-1.61,Failed,DQ-T02
2024-12-16,XX601864880,CARD,GW-ORION,Failed,6,264.63,AED,0.0,0.26,-0.26,Failed,DQ-T04
2026-01-29,EG550259154,TOKEN,GW-NILE,PENDING_REVIEW,7,2336.46,EGP,87.91,48.18,39.73,,DQ-T05
,SA259363162,TOKEN,GW-ORION,Failed,1,120.95,SAR,0.0,0.04,-0.04,Failed,DQ-T02
2025-03-10,OM188757830,LDEBIT,GW-NIMBUS,CAPTURED,0,156.12,OMR,1.84,0.72,1.12,Success,DQ-T08
2025-07-18,SA775621648,CARD,GW-ATLAS,CHARGEBACK?,12,498.77,SAR,16.03,10.6,5.43,,DQ-T05
,EG420159724,WALLET,GW-NILE,Success,2,6951.82,EGP,140.69,59.83,80.86,Success,DQ-T02
2025-12-18,SA764037736,CARD,GW-ORION,Success,0,134665.27,SAR,2554.74,1862.29,692.45,Success,DQ-T08
,SA118340145,CARD,GW-NIMBUS,Failed,3,194.8,SAR,0.0,0.17,-0.17,Failed,DQ-T02
2025-05-19,XX384200863,LDEBIT,GW-NILE,Success,5,4912.76,EGP,68.46,28.61,39.85,Success,DQ-T04
2026-05-20,SA597658531,BNPL,GW-ATLAS,Success,224,34831.27,SAR,48763.78,1220.57,47543.21,Success,DQ-T09
2025-06-25,EG259754316,WALLET,GW-NILE,PENDING_REVIEW,2,610.14,EGP,0.0,14.96,-14.96,,DQ-T05
,SA897535524,LDEBIT,GW-NIMBUS,Success,3,2101.21,SAR,24.6,9.96,14.64,Success,DQ-T02
,EG839904793,BNPL,GW-ATLAS,Failed,1,354.94,EGP,0.0,1.0,-1.0,Failed,DQ-T02
2025-04-28,SA205739809,TOKEN,GW-ATLAS,CHARGEBACK?,1,36.54,SAR,0.0,0.08,-0.08,,DQ-T05
2026-05-12,XX896563860,CARD,GW-NILE,Failed,2,13902.23,EGP,0.0,0.82,-0.82,Failed,DQ-T04
2025-12-03,XX825869887,WALLET,GW-NILE,Failed,1,287.44,EGP,0.0,0.41,-0.41,Failed,DQ-T04
2025-01-21,SA796857151,CARD,GW-NIMBUS,UNKNOWN,1,1837.75,SAR,39.92,25.05,14.87,,DQ-T05
2026-05-20,SA333336650,LDEBIT,GW-NIMBUS,PENDING_REVIEW,1,468.72,SAR,5.17,2.28,2.89,,DQ-T05
2026-06-08,EG624580946,WALLET,GW-NILE,UNKNOWN,149,32899.16,EGP,977.04,534.73,442.31,,DQ-T05
2025-01-09,EG486344028,CARD,GW-ATLAS,UNKNOWN,6,1932.33,EGP,0.0,5.88,-5.88,,DQ-T05
2025-06-05,AE274153176,CARD,GW-ATLAS,PENDING_REVIEW,1,1157.53,AED,28.19,17.15,11.04,,DQ-T05
2026-03-22,EG911025364,TOKEN,GW-ATLAS,CHARGEBACK?,21,4393.49,EGP,223.47,146.61,76.86,,DQ-T05
,OM267217098,LDEBIT,GW-NIMBUS,Failed,3,43.85,OMR,0.0,0.02,-0.02,Failed,DQ-T02
2025-04-28,XX355544980,WALLET,GW-NILE,Success,3,1354.78,EGP,32.47,16.19,16.28,Success,DQ-T04
2024-11-18,AE125858239,BNPL,GW-ATLAS,UNKNOWN,5,1157.54,AED,0.0,0.37,-0.37,,DQ-T05
2025-08-05,EG934737958,TOKEN,GW-NILE,Success,15,3441.12,EGP,4817.57,82.68,4734.89,Success,DQ-T09
,AE355257464,BANKTR,GW-NIMBUS,Failed,1,12353.01,AED,0.0,0.06,-0.06,Failed,DQ-T02
,OM780225802,LDEBIT,GW-NIMBUS,Success,16,81.03,OMR,1.32,0.64,0.68,Success,DQ-T02
2026-02-09,XX697805669,CARD,GW-ORION,Success,51,10322.27,SAR,241.57,143.71,97.86,Success,DQ-T04
2026-03-21,EG952454778,WALLET,GW-NILE,PENDING_REVIEW,4,1207.51,EGP,0.0,1.65,-1.65,,DQ-T05
2024-10-25,OM861947173,LDEBIT,GW-NIMBUS,APPROVED,8,140.58,OMR,196.81,0.77,196.04,Success,DQ-T09
2024-10-06,SA517497912,CARD,GW-NIMBUS,Success,0,1833.68,SAR,57.64,34.26,23.38,Success,DQ-T08
,SA972748866,LDEBIT,GW-NIMBUS,Failed,6,782.34,SAR,0.0,0.34,-0.34,Failed,DQ-T02
,EG331354329,LDEBIT,GW-NILE,Voided,1,359.98,EGP,0.0,0.4,-0.4,Voided,DQ-T02
2024-08-27,EG235283002,BANKTR,GW-NILE,Success,247,673886.17,EGP,943440.64,4168.03,939272.61,Success,DQ-T09
2025-09-30,AE998528073,CARD,GW-ORION,UNKNOWN,10,2692.18,AED,67.91,36.7,31.21,,DQ-T05
2025-10-13,EG631107574,CARD,GW-NILE,PENDING_REVIEW,3,815.88,EGP,0.0,1.21,-1.21,,DQ-T05
,OM141192539,TOKEN,GW-NIMBUS,Success,14,242.44,OMR,5.84,3.74,2.1,Success,DQ-T02
2025-03-08,EG482640702,LDEBIT,GW-NILE,Success,9,-20518.21,EGP,-259.01,-98.66,-160.35,Success,DQ-T07
2024-07-14,EG331354329,CARD,GW-ATLAS,Success,0,133938.51,EGP,3626.95,3308.65,318.3,Success,DQ-T08
2024-07-31,EG728358410,BNPL,GW-NILE,Success,0,1814.43,EGP,74.25,52.64,21.61,Success,DQ-T08
,AE798073466,BNPL,GW-ATLAS,Success,2,384.2,AED,17.1,13.42,3.68,Success,DQ-T02
2025-01-20,EG431162218,BANKTR,GW-NILE,Success,69,319512.07,EGP,447316.9,1235.98,446080.92,Success,DQ-T09
2026-02-01,XX398729348,LDEBIT,GW-NIMBUS,Success,11,488.6,SAR,4.44,4.05,0.39,Success,DQ-T04
,EG550259154,CARD,GW-ATLAS,Failed,3,938.52,EGP,0.0,2.89,-2.89,Failed,DQ-T02
2025-08-24,XX458746993,LDEBIT,GW-NILE,Success,71,90802.37,EGP,801.08,490.66,310.42,Success,DQ-T04
,AE125858239,CARD,GW-ORION,Failed,12,2778.09,AED,0.0,0.53,-0.53,Failed,DQ-T02
2025-07-01,EG279421850,BANKTR,GW-NILE,PENDING_REVIEW,13,42533.5,EGP,0.0,5.22,-5.22,,DQ-T05
,SA211354199,CARD,GW-ORION,Success,9,1747.02,SAR,36.6,24.4,12.2,Success,DQ-T02
,EG674673242,CARD,GW-NILE,Success,1,6935.19,EGP,155.61,86.9,68.71,Success,DQ-T02
,SA865588306,CARD,GW-NIMBUS,Failed,1,155.88,SAR,0.0,0.06,-0.06,Failed,DQ-T02
2024-07-24,EG280455389,TOKEN,GW-ATLAS,PENDING_REVIEW,1,991.22,EGP,26.79,18.55,8.24,,DQ-T05
,SA168621990,LDEBIT,GW-NIMBUS,Failed,1,105.38,SAR,0.0,0.06,-0.06,Failed,DQ-T02
,SA913218070,LDEBIT,GW-NIMBUS,Failed,1,148.97,SAR,0.0,0.06,-0.06,Failed,DQ-T02
,AE711049967,BANKTR,GW-NIMBUS,Success,1,14603.33,AED,31.48,8.64,22.84,Success,DQ-T02
2024-12-27,EG823617801,CARD,GW-NILE,UNKNOWN,1,335.61,EGP,0.0,7.35,-7.35,,DQ-T05
2025-12-09,EG554455116,LDEBIT,GW-NILE,Success,1,-11598.49,EGP,-132.22,-48.76,-83.46,Success,DQ-T07
2025-05-22,EG926950694,WALLET,GW-NILE,Success,117,-151059.67,EGP,-1847.3,-1427.57,-419.73,Success,DQ-T07
2024-09-19,EG403388419,WALLET,GW-NILE,Success,11,-16761.95,EGP,-322.55,-154.34,-168.21,Success,DQ-T07
2024-07-14,XX401743304,LDEBIT,GW-NIMBUS,Refunded,8,340.89,SAR,0.0,4.5,-4.5,Refunded,DQ-T04
,SA196173797,LDEBIT,GW-NIMBUS,Failed,1,86.01,SAR,0.0,0.06,-0.06,Failed,DQ-T02
,EG124719628,CARD,GW-NILE,Success,3,6363.61,EGP,168.02,85.42,82.6,Success,DQ-T02
2025-02-14,EG911025364,CARD,GW-NILE,CHARGEBACK?,61,13508.42,EGP,644.28,322.76,321.52,,DQ-T05
,EG110254241,LDEBIT,GW-NILE,Failed,1,976.03,EGP,0.0,0.41,-0.41,Failed,DQ-T02
2025-11-20,EG861848123,WALLET,GW-NILE,CHARGEBACK?,5,4959.73,EGP,108.98,49.09,59.89,,DQ-T05
2025-05-15,SA385404287,TOKEN,GW-ATLAS,SETTLED,27,1348.53,SAR,1887.94,27.88,1860.06,Success,DQ-T09
2025-10-19,EG276584921,BNPL,GW-ATLAS,Approved,1,-1630.96,EGP,-69.58,-57.37,-12.21,Success,DQ-T07
2025-06-08,OM206534144,LDEBIT,GW-NIMBUS,UNKNOWN,3,122.36,OMR,1.54,0.6,0.94,,DQ-T05
2026-03-07,EG839904793,LDEBIT,GW-NILE,Success,0,4254.84,EGP,85.79,38.9,46.89,Success,DQ-T08
,EG191889591,TOKEN,GW-NILE,Success,11,16152.9,EGP,429.48,232.11,197.37,Success,DQ-T02
,AE798073466,CARD,GW-ORION,Success,11,2715.71,AED,64.46,37.22,27.24,Success,DQ-T02
,AE787062785,CARD,GW-ORION,Refunded,1,97.3,AED,0.0,0.55,-0.55,Refunded,DQ-T02
2025-05-14,XX559043809,CARD,GW-NIMBUS,Failed,7,422.69,SAR,0.0,0.39,-0.39,Failed,DQ-T04
,SA734980407,CARD,GW-ATLAS,Voided,4,239.88,SAR,0.0,0.3,-0.3,Voided,DQ-T02
2024-08-23,AE783290352,BNPL,GW-ATLAS,SUCCESS,3,-150.04,AED,-7.52,-5.41,-2.11,Success,DQ-T07
,OM236113503,CARD,GW-NIMBUS,Failed,2,54.5,OMR,0.0,0.01,-0.01,Failed,DQ-T02
2025-11-14,EG178731082,LDEBIT,GW-NILE,Success,10,-8052.62,EGP,-116.72,-50.45,-66.27,Success,DQ-T07
2025-08-13,XX149553169,CARD,GW-ATLAS,Failed,5,1873.47,SAR,0.0,0.38,-0.38,Failed,DQ-T04
,EG248756723,WALLET,GW-NILE,Success,5,1378.48,EGP,38.72,20.17,18.55,Success,DQ-T02
2026-05-02,XX601810747,TOKEN,GW-NIMBUS,Success,36,5018.83,SAR,88.57,79.04,9.53,Success,DQ-T04
2025-03-14,EG872519745,WALLET,GW-NILE,UNKNOWN,13,3092.25,EGP,91.83,47.52,44.31,,DQ-T05
,EG482640702,CARD,GW-ATLAS,Failed,7,15985.37,EGP,0.0,6.87,-6.87,Failed,DQ-T02
2025-11-09,OM441483176,LDEBIT,GW-NIMBUS,PENDING_REVIEW,4,78.97,OMR,0.89,0.42,0.47,,DQ-T05
2026-03-09,OM141192539,CARD,GW-ATLAS,Success,0,2351.13,OMR,55.96,38.49,17.47,Success,DQ-T08
,SA891035844,TOKEN,GW-ORION,Failed,2,352.03,SAR,0.0,0.09,-0.09,Failed,DQ-T02
,SA813150489,TOKEN,GW-ATLAS,Success,57,8521.65,SAR,164.18,144.66,19.52,Success,DQ-T02
,EG538857731,TOKEN,GW-NILE,Success,7,12717.12,EGP,317.09,179.27,137.82,Success,DQ-T02
2024-12-22,OM188757830,LDEBIT,GW-NIMBUS,CHARGEBACK?,1,80.47,OMR,0.96,0.38,0.58,,DQ-T05
2026-04-22,EG327394766,WALLET,GW-NILE,Success,52,-89332.11,EGP,-1818.21,-816.97,-1001.24,Success,DQ-T07
,SA434781636,CARD,GW-NIMBUS,Failed,3,362.12,SAR,0.0,0.17,-0.17,Failed,DQ-T02
,EG361515615,TOKEN,GW-NILE,Success,7,8178.0,EGP,219.63,121.66,97.97,Success,DQ-T02
2026-04-10,AE618504164,CARD,GW-ATLAS,UNKNOWN,11,595.18,AED,0.0,0.81,-0.81,,DQ-T05
,EG723980954,LDEBIT,GW-NILE,Success,1,268.24,EGP,5.73,2.83,2.9,Success,DQ-T02
,SA358724361,LDEBIT,GW-NIMBUS,Success,11,464.4,SAR,7.81,3.95,3.86,Success,DQ-T02
,EG389262771,LDEBIT,GW-NILE,Success,8,3320.51,EGP,55.44,27.85,27.59,Success,DQ-T02
2026-06-23,XX185118286,WALLET,GW-NILE,Failed,11,4313.07,EGP,0.0,4.53,-4.53,Failed,DQ-T04
,AE345303542,LDEBIT,GW-NIMBUS,Success,7,361.85,AED,5.7,2.79,2.91,Success,DQ-T02
,EG934454177,CARD,GW-ATLAS,Failed,22,29634.35,EGP,0.0,21.73,-21.73,Failed,DQ-T02
,EG611254298,CARD,GW-ATLAS,Failed,3,1146.66,EGP,0.0,3.09,-3.09,Failed,DQ-T02
2026-03-16,SA416884588,TOKEN,GW-NIMBUS,CHARGEBACK?,17,3265.87,SAR,78.32,49.87,28.45,,DQ-T05
2025-12-16,SA859807984,TOKEN,GW-NIMBUS,Success,2,-3155.09,SAR,-74.01,-44.66,-29.35,Success,DQ-T07
