merchant_id,payment_method,mdr_pct,fixed_fee_usd,effective_from,merchant_key
M00067,CARD,0.02311,0.105,2021-02-16,67
M00067,LDEBIT,0.0113,0.053,2021-02-16,67
M00067,TOKEN,0.02363,0.105,2021-02-16,67
M00068,CARD,0.02349,0.1,2021-02-16,68
M00068,TOKEN,0.02401,0.1,2021-02-16,68
M00068,LDEBIT,0.01148,0.05,2021-02-16,68
M00069,CARD,0.02312,0.105,2021-02-16,69
M00069,LDEBIT,0.0113,0.053,2021-02-16,69
M00070,CARD,0.02302,0.1,2021-02-20,70
M00070,TOKEN,0.02354,0.1,2021-02-20,70
M00071,CARD,0.02045,0.1,2021-02-21,71
M00071,TOKEN,0.02091,0.1,2021-02-21,71
M00072,CARD,0.02211,0.1,2021-02-21,72
M00072,TOKEN,0.0226,0.1,2021-02-21,72
M00073,CARD,0.02315,0.105,2021-02-23,73
M00073,LDEBIT,0.01132,0.053,2021-02-23,73
M00073,TOKEN,0.02366,0.105,2021-02-23,73
M00073,WALLET,0.01852,0.053,2021-02-23,73
M00074,CARD,0.02141,0.1,2021-02-24,74
M00074,TOKEN,0.02189,0.1,2021-02-24,74
M00074,LDEBIT,0.01047,0.05,2021-02-24,74
M00075,CARD,0.02337,0.105,2021-02-26,75
M00075,LDEBIT,0.01142,0.053,2021-02-26,75
M00075,TOKEN,0.02389,0.105,2021-02-26,75
M00075,WALLET,0.01869,0.053,2021-02-26,75
M00076,BANKTR,0.00203,0.42,2021-02-27,76
M00076,CARD,0.01521,0.07,2021-02-27,76
M00077,CARD,0.02356,0.105,2021-02-28,77
M00077,LDEBIT,0.01152,0.053,2021-02-28,77
M00077,TOKEN,0.02408,0.105,2021-02-28,77
M00077,WALLET,0.01885,0.053,2021-02-28,77
M00078,CARD,0.02282,0.105,2021-03-02,78
M00078,LDEBIT,0.01116,0.053,2021-03-02,78
M00078,WALLET,0.01826,0.053,2021-03-02,78
M00079,CARD,0.02403,0.1,2021-03-03,79
M00079,TOKEN,0.02457,0.1,2021-03-03,79
M00080,CARD,0.02433,0.105,2021-03-05,80
M00080,TOKEN,0.02487,0.105,2021-03-05,80
M00080,LDEBIT,0.01189,0.053,2021-03-05,80
M00080,WALLET,0.01946,0.053,2021-03-05,80
M00080,BNPL,0.04865,0.0,2021-03-05,80
M00081,CARD,0.02358,0.105,2021-03-09,81
M00081,TOKEN,0.0241,0.105,2021-03-09,81
M00081,BNPL,0.04716,0.0,2021-03-09,81
M00082,CARD,0.02215,0.105,2021-03-11,82
M00082,TOKEN,0.02265,0.105,2021-03-11,82
M00082,LDEBIT,0.01083,0.053,2021-03-11,82
M00082,WALLET,0.01772,0.053,2021-03-11,82
M00082,BNPL,0.04431,0.0,2021-03-11,82
M00083,CARD,0.02244,0.105,2021-03-11,83
M00083,TOKEN,0.02294,0.105,2021-03-11,83
M00083,LDEBIT,0.01097,0.053,2021-03-11,83
M00084,CARD,0.02495,0.105,2021-03-15,84
M00084,LDEBIT,0.0122,0.053,2021-03-15,84
M00084,WALLET,0.01996,0.053,2021-03-15,84
M00085,BANKTR,0.00223,0.42,2021-03-15,85
M00085,CARD,0.01674,0.07,2021-03-15,85
M00086,CARD,0.02485,0.105,2021-03-18,86
M00086,LDEBIT,0.01215,0.053,2021-03-18,86
M00086,TOKEN,0.0254,0.105,2021-03-18,86
M00086,WALLET,0.01988,0.053,2021-03-18,86
M00087,BANKTR,0.00219,0.42,2021-03-23,87
M00087,CARD,0.01639,0.07,2021-03-23,87
M00088,CARD,0.02281,0.105,2021-03-24,88
M00088,LDEBIT,0.01115,0.053,2021-03-24,88
M00088,TOKEN,0.02331,0.105,2021-03-24,88
M00089,CARD,0.02354,0.105,2021-03-25,89
M00089,LDEBIT,0.01151,0.053,2021-03-25,89
M00090,CARD,0.0223,0.105,2021-03-30,90
M00090,LDEBIT,0.0109,0.053,2021-03-30,90
M00090,WALLET,0.01784,0.053,2021-03-30,90
M00091,CARD,0.01622,0.072,2021-03-30,91
M00091,TOKEN,0.01658,0.072,2021-03-30,91
M00091,LDEBIT,0.00793,0.036,2021-03-30,91
M00092,CARD,0.02376,0.105,2021-04-01,92
M00092,LDEBIT,0.01162,0.053,2021-04-01,92
M00093,CARD,0.02379,0.1,2021-04-01,93
M00093,TOKEN,0.02432,0.1,2021-04-01,93
M00094,CARD,0.02175,0.1,2021-04-02,94
M00094,TOKEN,0.02223,0.1,2021-04-02,94
M00095,CARD,0.02225,0.1,2021-04-03,95
M00095,TOKEN,0.02275,0.1,2021-04-03,95
M00095,BNPL,0.0445,0.0,2021-04-03,95
M00096,CARD,0.0244,0.1,2021-04-06,96
M00096,TOKEN,0.02495,0.1,2021-04-06,96
M00096,LDEBIT,0.01193,0.05,2021-04-06,96
M00096,WALLET,0.01952,0.05,2021-04-06,96
M00096,BNPL,0.04881,0.0,2021-04-06,96
M00097,CARD,0.02351,0.105,2021-04-06,97
M00097,LDEBIT,0.0115,0.053,2021-04-06,97
M00097,TOKEN,0.02404,0.105,2021-04-06,97
M00098,CARD,0.02415,0.105,2021-04-07,98
M00098,LDEBIT,0.01181,0.053,2021-04-07,98
M00099,CARD,0.02354,0.105,2021-04-09,99
M00099,LDEBIT,0.01151,0.053,2021-04-09,99
M00099,TOKEN,0.02406,0.105,2021-04-09,99
M00099,WALLET,0.01883,0.053,2021-04-09,99
M00100,CARD,0.02385,0.105,2021-04-11,100
M00100,LDEBIT,0.01166,0.053,2021-04-11,100
M00100,TOKEN,0.02438,0.105,2021-04-11,100
M00101,CARD,0.02364,0.105,2021-04-11,101
M00101,LDEBIT,0.01156,0.053,2021-04-11,101
M00101,TOKEN,0.02417,0.105,2021-04-11,101
M00101,WALLET,0.01891,0.053,2021-04-11,101
M00102,CARD,0.02272,0.1,2021-04-12,102
M00102,TOKEN,0.02322,0.1,2021-04-12,102
M00103,CARD,0.02348,0.1,2021-04-21,103
M00103,TOKEN,0.024,0.1,2021-04-21,103
M00104,CARD,0.02258,0.1,2021-04-28,104
M00104,TOKEN,0.02308,0.1,2021-04-28,104
M00104,BNPL,0.04516,0.0,2021-04-28,104
M00105,CARD,0.0226,0.1,2021-04-28,105
M00105,TOKEN,0.0231,0.1,2021-04-28,105
M00105,LDEBIT,0.01105,0.05,2021-04-28,105
M00105,WALLET,0.01808,0.05,2021-04-28,105
M00106,CARD,0.02234,0.105,2021-04-29,106
M00106,LDEBIT,0.01092,0.053,2021-04-29,106
M00106,TOKEN,0.02283,0.105,2021-04-29,106
M00106,WALLET,0.01787,0.053,2021-04-29,106
M00107,CARD,0.02204,0.105,2021-05-01,107
M00107,LDEBIT,0.01077,0.053,2021-05-01,107
M00108,CARD,0.01622,0.072,2021-05-04,108
M00108,LDEBIT,0.00793,0.036,2021-05-04,108
M00108,WALLET,0.01298,0.036,2021-05-04,108
M00109,BANKTR,0.00199,0.42,2021-05-04,109
M00109,CARD,0.01494,0.07,2021-05-04,109
M00110,CARD,0.02399,0.105,2021-05-05,110
M00110,TOKEN,0.02452,0.105,2021-05-05,110
M00110,LDEBIT,0.01173,0.053,2021-05-05,110
M00110,WALLET,0.01919,0.053,2021-05-05,110
M00111,CARD,0.0236,0.105,2021-05-05,111
M00111,LDEBIT,0.01154,0.053,2021-05-05,111
M00112,CARD,0.02407,0.105,2021-05-07,112
M00112,LDEBIT,0.01177,0.053,2021-05-07,112
M00112,TOKEN,0.0246,0.105,2021-05-07,112
M00113,CARD,0.02135,0.1,2021-05-08,113
M00113,TOKEN,0.02183,0.1,2021-05-08,113
M00113,LDEBIT,0.01044,0.05,2021-05-08,113
M00114,CARD,0.01451,0.072,2021-05-09,114
M00114,LDEBIT,0.0071,0.036,2021-05-09,114
M00114,TOKEN,0.01484,0.072,2021-05-09,114
M00115,CARD,0.0244,0.105,2021-05-12,115
M00115,LDEBIT,0.01193,0.053,2021-05-12,115
M00115,TOKEN,0.02494,0.105,2021-05-12,115
M00116,CARD,0.02275,0.1,2021-05-17,116
M00116,TOKEN,0.02326,0.1,2021-05-17,116
M00116,LDEBIT,0.01112,0.05,2021-05-17,116
M00116,WALLET,0.0182,0.05,2021-05-17,116
M00116,BNPL,0.04551,0.0,2021-05-17,116
M00117,BANKTR,0.00209,0.42,2021-05-17,117
M00117,CARD,0.01567,0.07,2021-05-17,117
M00118,CARD,0.02473,0.105,2021-05-17,118
M00118,LDEBIT,0.01209,0.053,2021-05-17,118
M00118,TOKEN,0.02528,0.105,2021-05-17,118
M00119,CARD,0.02181,0.1,2021-05-19,119
M00119,TOKEN,0.0223,0.1,2021-05-19,119
M00119,LDEBIT,0.01066,0.05,2021-05-19,119
M00119,WALLET,0.01745,0.05,2021-05-19,119
M00119,BNPL,0.04363,0.0,2021-05-19,119
M00120,CARD,0.01695,0.072,2021-05-30,120
M00120,LDEBIT,0.00829,0.036,2021-05-30,120
M00120,TOKEN,0.01733,0.072,2021-05-30,120
M00121,CARD,0.02388,0.105,2021-05-30,121
M00121,LDEBIT,0.01167,0.053,2021-05-30,121
M00122,CARD,0.02368,0.105,2021-06-02,122
M00122,LDEBIT,0.01158,0.053,2021-06-02,122
M00122,TOKEN,0.0242,0.105,2021-06-02,122
M00123,CARD,0.02041,0.1,2021-06-03,123
M00123,TOKEN,0.02086,0.1,2021-06-03,123
M00123,LDEBIT,0.00998,0.05,2021-06-03,123
M00123,WALLET,0.01632,0.05,2021-06-03,123
M00123,BNPL,0.04081,0.0,2021-06-03,123
M00124,CARD,0.02339,0.105,2021-06-06,124
M00124,LDEBIT,0.01143,0.053,2021-06-06,124
M00124,TOKEN,0.02391,0.105,2021-06-06,124
M00125,CARD,0.02228,0.1,2021-06-08,125
M00125,TOKEN,0.02278,0.1,2021-06-08,125
M00126,CARD,0.02512,0.105,2021-06-12,126
M00126,LDEBIT,0.01228,0.053,2021-06-12,126
M00126,TOKEN,0.02568,0.105,2021-06-12,126
M00127,CARD,0.02461,0.105,2021-06-19,127
M00127,TOKEN,0.02516,0.105,2021-06-19,127
M00127,LDEBIT,0.01203,0.053,2021-06-19,127
M00127,WALLET,0.01969,0.053,2021-06-19,127
M00128,CARD,0.02448,0.105,2021-06-19,128
M00128,LDEBIT,0.01197,0.053,2021-06-19,128
M00128,TOKEN,0.02502,0.105,2021-06-19,128
M00128,WALLET,0.01958,0.053,2021-06-19,128
M00129,CARD,0.02249,0.1,2021-06-20,129
M00129,TOKEN,0.02299,0.1,2021-06-20,129
M00129,BNPL,0.04499,0.0,2021-06-20,129
M00130,CARD,0.02315,0.105,2021-06-21,130
M00130,LDEBIT,0.01132,0.053,2021-06-21,130
M00130,TOKEN,0.02366,0.105,2021-06-21,130
M00130,WALLET,0.01852,0.053,2021-06-21,130
M00131,CARD,0.01773,0.072,2021-06-22,131
M00131,LDEBIT,0.00867,0.036,2021-06-22,131
M00131,TOKEN,0.01813,0.072,2021-06-22,131
M00132,CARD,0.02491,0.105,2021-06-25,132
M00132,LDEBIT,0.01218,0.053,2021-06-25,132
M00133,BANKTR,0.00212,0.42,2021-06-27,133
M00133,CARD,0.01591,0.07,2021-06-27,133
M00134,CARD,0.02229,0.1,2021-06-29,134
M00134,TOKEN,0.02278,0.1,2021-06-29,134
M00134,BNPL,0.04457,0.0,2021-06-29,134
M00135,CARD,0.02581,0.105,2021-07-04,135
M00135,LDEBIT,0.01262,0.053,2021-07-04,135
M00136,CARD,0.0217,0.1,2021-07-05,136
M00136,TOKEN,0.02218,0.1,2021-07-05,136
M00137,CARD,0.02309,0.105,2021-07-18,137
M00137,LDEBIT,0.01129,0.053,2021-07-18,137
M00138,CARD,0.02369,0.105,2021-07-19,138
M00138,LDEBIT,0.01158,0.053,2021-07-19,138
M00138,TOKEN,0.02421,0.105,2021-07-19,138
M00139,CARD,0.02419,0.105,2021-07-19,139
M00139,LDEBIT,0.01182,0.053,2021-07-19,139
M00139,WALLET,0.01935,0.053,2021-07-19,139
M00140,CARD,0.02413,0.1,2021-07-19,140
M00140,TOKEN,0.02467,0.1,2021-07-19,140
M00141,CARD,0.0244,0.105,2021-07-19,141
M00141,LDEBIT,0.01193,0.053,2021-07-19,141
M00141,TOKEN,0.02494,0.105,2021-07-19,141
M00142,CARD,0.02523,0.105,2021-07-22,142
M00142,LDEBIT,0.01233,0.053,2021-07-22,142
M00143,CARD,0.02112,0.1,2021-07-24,143
M00143,TOKEN,0.02159,0.1,2021-07-24,143
M00144,CARD,0.02099,0.105,2021-07-28,144
M00144,TOKEN,0.02146,0.105,2021-07-28,144
M00144,LDEBIT,0.01026,0.053,2021-07-28,144
M00144,WALLET,0.01679,0.053,2021-07-28,144
M00144,BNPL,0.04198,0.0,2021-07-28,144
M00145,CARD,0.02505,0.105,2021-08-05,145
M00145,TOKEN,0.02561,0.105,2021-08-05,145
M00145,BNPL,0.0501,0.0,2021-08-05,145
M00146,CARD,0.02267,0.105,2021-08-07,146
M00146,LDEBIT,0.01108,0.053,2021-08-07,146
M00146,TOKEN,0.02318,0.105,2021-08-07,146
M00147,CARD,0.02259,0.1,2021-08-07,147
M00147,TOKEN,0.02309,0.1,2021-08-07,147
M00148,BANKTR,0.00208,0.42,2021-08-07,148
M00148,CARD,0.01557,0.07,2021-08-07,148
M00149,CARD,0.02343,0.105,2021-08-13,149
M00149,TOKEN,0.02395,0.105,2021-08-13,149
M00149,LDEBIT,0.01145,0.053,2021-08-13,149
M00149,WALLET,0.01874,0.053,2021-08-13,149
M00150,CARD,0.02409,0.105,2021-08-18,150
M00150,TOKEN,0.02463,0.105,2021-08-18,150
M00150,LDEBIT,0.01178,0.053,2021-08-18,150
M00151,CARD,0.02329,0.105,2021-08-21,151
M00151,LDEBIT,0.01139,0.053,2021-08-21,151
M00152,CARD,0.0177,0.072,2021-08-25,152
M00152,LDEBIT,0.00865,0.036,2021-08-25,152
M00153,CARD,0.02306,0.105,2021-08-28,153
M00153,LDEBIT,0.01127,0.053,2021-08-28,153
M00153,TOKEN,0.02357,0.105,2021-08-28,153
M00154,CARD,0.01595,0.072,2021-08-28,154
M00154,LDEBIT,0.0078,0.036,2021-08-28,154
M00154,TOKEN,0.01631,0.072,2021-08-28,154
M00155,CARD,0.02306,0.105,2021-09-04,155
M00155,LDEBIT,0.01128,0.053,2021-09-04,155
M00155,TOKEN,0.02358,0.105,2021-09-04,155
M00155,WALLET,0.01845,0.053,2021-09-04,155
M00156,CARD,0.02315,0.1,2021-09-07,156
M00156,TOKEN,0.02367,0.1,2021-09-07,156
M00156,LDEBIT,0.01132,0.05,2021-09-07,156
M00156,BNPL,0.0463,0.0,2021-09-07,156
M00157,CARD,0.0238,0.105,2021-09-09,157
M00157,LDEBIT,0.01163,0.053,2021-09-09,157
M00157,TOKEN,0.02433,0.105,2021-09-09,157
M00157,WALLET,0.01904,0.053,2021-09-09,157
M00158,CARD,0.02502,0.105,2021-09-12,158
M00158,TOKEN,0.02557,0.105,2021-09-12,158
M00159,CARD,0.02414,0.105,2021-09-13,159
M00159,LDEBIT,0.0118,0.053,2021-09-13,159
M00159,WALLET,0.01931,0.053,2021-09-13,159
M00160,CARD,0.02506,0.105,2021-09-20,160
M00160,LDEBIT,0.01225,0.053,2021-09-20,160
M00161,CARD,0.02238,0.1,2021-09-24,161
M00161,TOKEN,0.02288,0.1,2021-09-24,161
M00161,LDEBIT,0.01094,0.05,2021-09-24,161
M00162,CARD,0.01489,0.072,2021-09-30,162
M00162,LDEBIT,0.00728,0.036,2021-09-30,162
M00162,TOKEN,0.01523,0.072,2021-09-30,162
M00162,WALLET,0.01192,0.036,2021-09-30,162
M00163,CARD,0.02307,0.1,2021-10-01,163
M00163,TOKEN,0.02358,0.1,2021-10-01,163
M00163,LDEBIT,0.01128,0.05,2021-10-01,163
M00163,BNPL,0.04614,0.0,2021-10-01,163
M00164,CARD,0.02356,0.1,2021-10-05,164
M00164,TOKEN,0.02409,0.1,2021-10-05,164
M00164,LDEBIT,0.01152,0.05,2021-10-05,164
M00164,WALLET,0.01885,0.05,2021-10-05,164
M00164,BNPL,0.04712,0.0,2021-10-05,164
M00165,CARD,0.02373,0.105,2021-10-07,165
M00165,LDEBIT,0.0116,0.053,2021-10-07,165
M00166,CARD,0.02466,0.105,2021-10-08,182
M00166,LDEBIT,0.01206,0.053,2021-10-08,182
M00166,TOKEN,0.02521,0.105,2021-10-08,182
M00166,WALLET,0.01973,0.053,2021-10-08,182
M00167,CARD,0.02111,0.1,2021-10-12,166
M00167,TOKEN,0.02158,0.1,2021-10-12,166
M00167,LDEBIT,0.01032,0.05,2021-10-12,166
M00168,CARD,0.02163,0.1,2021-10-13,167
M00168,TOKEN,0.02211,0.1,2021-10-13,167
M00169,CARD,0.02285,0.105,2021-10-16,168
M00169,TOKEN,0.02336,0.105,2021-10-16,168
