merchant_key,merchant_id,mid,merchant_name,country_code,segment,vertical,service,integration_type,settlement_type,account_manager,signup_date,live_date,first_txn_date,live_date_corrected,last_txn_date,days_signup_to_live,days_live_to_first_txn,is_activated,lifecycle_status,signup_cohort,live_cohort,live_fy,is_new_in_period,signup_date_key,live_date_key,first_txn_date_key,last_txn_date_key
26,M00026,AE642488904,Swift Journeys,AE,Enterprise,Travel & Hospitality,Online Checkout,E-commerce Plugin,T+1,Yousef Al-Marri,2020-11-10,2020-11-18,2024-07-01,0,2026-06-30,8.0,1321.0,0,Active,2020-11,2020-11,2021.0,0,20201110,20201118,20240701,20260630
27,M00027,EG439677893,Metro Online,EG,Online,E-commerce,Online Checkout,Direct API,T+1,Mai Ragab,2020-11-12,,,0,,,,0,Onboarding (not live),2020-11,,,0,20201112,,,
28,M00028,AE519251741,Pearl Online,AE,Online,E-commerce,Online Checkout,Direct API,T+2,Layla Haddad,2020-11-20,,,0,,,,0,Onboarding (not live),2020-11,,,0,20201120,,,
29,M00029,EG542845011,Bright Stores,EG,SME,Retail,Online Checkout,Hosted Checkout,T+1,Nadia Fouad,2020-11-22,2020-12-24,2024-07-01,0,2026-06-29,32.0,1285.0,0,Active,2020-11,2020-12,2021.0,0,20201122,20201224,20240701,20260629
30,M00030,AE396175229,Cedar Mart,AE,SME,Retail,POS Acceptance,POS Terminal,T+1,Yousef Al-Marri,2020-11-22,2020-12-21,2024-07-02,0,2025-01-31,29.0,1289.0,0,Churned,2020-11,2020-12,2021.0,0,20201122,20201221,20240702,20250131
31,M00031,AE870997409,Pearl Shop,AE,Online,E-commerce,Online Checkout,Direct API,T+2,Layla Haddad,2020-11-23,2021-03-04,2024-07-01,0,2025-11-30,101.0,1215.0,0,Churned,2020-11,2021-03,2021.0,0,20201123,20210304,20240701,20251130
32,M00032,EG178731082,Swift Streaming,EG,Online,Digital Services,Online Checkout,Direct API,T+1,Mai Ragab,2020-11-25,2021-01-08,2024-07-01,0,2026-03-31,44.0,1270.0,0,Churned,2020-11,2021-01,2021.0,0,20201125,20210108,20240701,20260331
33,M00033,EG622719015,Cedar Tours,EG,Online,Travel & Hospitality,Online Checkout,Direct API,T+1,Hany Soliman,2020-11-27,2021-03-02,2024-07-03,0,2026-06-30,95.0,1219.0,0,Active,2020-11,2021-03,2021.0,0,20201127,20210302,20240703,20260630
34,M00034,AE462770123,Amber Consulting,AE,SME,Professional Services,Payment Links,Payment Links,T+1,Yousef Al-Marri,2020-11-27,2020-12-07,2024-07-01,0,2026-06-28,10.0,1302.0,0,Active,2020-11,2020-12,2021.0,0,20201127,20201207,20240701,20260628
35,M00035,SA944601083,Falcon Services,SA,SME,Professional Services,POS Acceptance,POS Terminal,Instant,Reem Al-Ghamdi,2020-12-01,2021-01-04,2024-07-01,0,2026-06-30,34.0,1274.0,0,Active,2020-12,2021-01,2021.0,0,20201201,20210104,20240701,20260630
36,M00036,EG397022030,Prime Wholesale,EG,B2B,Distribution & Wholesale,B2B Collections,Direct API,T+1,Karim Ezzat,2020-12-03,2021-03-17,2024-07-01,0,2026-06-25,104.0,1202.0,0,Active,2020-12,2021-03,2021.0,0,20201203,20210317,20240701,20260625
37,M00037,OM939316312,Prime Outlet,OM,SME,Retail,POS Acceptance,POS Terminal,T+2,Salim Al-Harthy,2020-12-06,2021-01-09,2024-07-02,0,2026-06-30,34.0,1270.0,0,Active,2020-12,2021-01,2021.0,0,20201206,20210109,20240702,20260630
38,M00038,AE861319254,Crescent Deals,AE,Online,E-commerce,Online Checkout,Hosted Checkout,Instant,Yousef Al-Marri,2020-12-07,2020-12-27,2024-07-01,0,2026-06-30,20.0,1282.0,0,Active,2020-12,2020-12,2021.0,0,20201207,20201227,20240701,20260630
39,M00039,OM222996492,Golden Traders,OM,B2B,Distribution & Wholesale,B2B Collections,Direct API,T+1,Salim Al-Harthy,2020-12-08,2021-02-10,2024-07-01,0,2026-06-29,64.0,1237.0,0,Active,2020-12,2021-02,2021.0,0,20201208,20210210,20240701,20260629
40,M00040,EG474829702,Bright Institute,EG,Online,Education,Online Checkout,Direct API,T+2,Hany Soliman,2020-12-08,2021-03-03,2024-07-01,0,2026-06-30,85.0,1216.0,0,Active,2020-12,2021-03,2021.0,0,20201208,20210303,20240701,20260630
41,M00041,AE204415052,Horizon Market,AE,SME,Retail,Payment Links,Payment Links,Instant,Yousef Al-Marri,2020-12-09,2020-12-17,2024-07-03,0,2025-08-31,8.0,1294.0,0,Churned,2020-12,2020-12,2021.0,0,20201209,20201217,20240703,20250831
42,M00042,SA711632487,Pearl Bakery,SA,SME,Food & Beverage,POS Acceptance,POS Terminal,T+1,Reem Al-Ghamdi,2020-12-10,2021-01-11,2024-07-01,0,2026-06-30,32.0,1267.0,0,Active,2020-12,2021-01,2021.0,0,20201210,20210111,20240701,20260630
43,M00043,AE667080643,Falcon Basket,AE,Online,E-commerce,Subscriptions,Direct API,Instant,Layla Haddad,2020-12-15,2021-01-15,2024-07-01,0,2026-06-30,31.0,1263.0,0,Active,2020-12,2021-01,2021.0,0,20201215,20210115,20240701,20260630
44,M00044,EG537155658,Urban Kitchen,EG,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Nadia Fouad,2020-12-15,2021-01-05,2024-07-01,0,2026-06-30,21.0,1273.0,0,Active,2020-12,2021-01,2021.0,0,20201215,20210105,20240701,20260630
45,M00045,AE957433919,Prime Stores,AE,Enterprise,Retail,Online Checkout,Direct API,Weekly,Layla Haddad,2020-12-15,2021-01-14,2024-07-01,0,2026-06-30,30.0,1264.0,0,Active,2020-12,2021-01,2021.0,0,20201215,20210114,20240701,20260630
46,M00046,EG680139391,Coral Roastery,EG,Online,Food & Beverage,Online Checkout,Direct API,Instant,Hany Soliman,2020-12-16,2021-02-25,2024-07-01,0,2026-06-30,71.0,1222.0,0,Active,2020-12,2021-02,2021.0,0,20201216,20210225,20240701,20260630
47,M00047,SA925677957,Silver EdTech,SA,SME,Education,POS Acceptance,POS Terminal,T+1,Omar Al-Anazi,2020-12-20,2021-01-19,2024-07-01,0,2026-06-30,30.0,1259.0,0,Active,2020-12,2021-01,2021.0,0,20201220,20210119,20240701,20260630
48,M00048,SA567182035,Royal Academy,SA,SME,Education,POS Acceptance,POS Terminal,T+1,Reem Al-Ghamdi,2020-12-28,,,0,,,,0,Onboarding (not live),2020-12,,,0,20201228,,,
49,M00049,OM136025016,Green Express,OM,B2B,Logistics,Payment Links,Payment Links,Weekly,Salim Al-Harthy,2020-12-30,,,0,,,,0,Onboarding (not live),2020-12,,,0,20201230,,,
50,M00050,EG199157533,Metro Boutique,EG,SME,Retail,POS Acceptance,POS Terminal,T+2,Mai Ragab,2020-12-30,2021-02-03,2024-07-01,0,2026-06-29,35.0,1244.0,0,Active,2020-12,2021-02,2021.0,0,20201230,20210203,20240701,20260629
51,M00051,OM501692260,Pearl Schools,OM,Online,Education,Online Checkout,Direct API,T+1,Salim Al-Harthy,2020-12-30,2021-02-02,2024-07-01,0,2026-03-31,34.0,1245.0,0,Churned,2020-12,2021-02,2021.0,0,20201230,20210202,20240701,20260331
52,M00052,EG290794122,Green Academy,EG,SME,Education,Payment Links,Payment Links,T+1,Mai Ragab,2020-12-31,2021-01-05,2024-07-01,0,2026-06-30,5.0,1273.0,0,Active,2020-12,2021-01,2021.0,0,20201231,20210105,20240701,20260630
53,M00053,OM861947173,Swift Medical,OM,SME,Healthcare,POS Acceptance,POS Terminal,T+2,Salim Al-Harthy,2021-01-13,2021-02-08,2024-07-01,0,2026-06-27,26.0,1239.0,0,Active,2021-01,2021-02,2021.0,0,20210113,20210208,20240701,20260627
54,M00054,SA588810791,Coral Telecom,SA,B2B,Telecom & Utilities,Payment Links,Payment Links,T+1,Omar Al-Anazi,2021-01-14,2021-01-23,2024-07-01,0,2026-06-25,9.0,1255.0,0,Active,2021-01,2021-01,2021.0,0,20210114,20210123,20240701,20260625
55,M00055,SA999694215,Royal Care,SA,SME,Healthcare,Payment Links,Payment Links,T+2,Turki Al-Shammari,2021-01-14,2021-01-21,2024-07-01,0,2026-06-28,7.0,1257.0,0,Active,2021-01,2021-01,2021.0,0,20210114,20210121,20240701,20260628
56,M00056,EG991914423,Blue Outlet,EG,SME,Retail,Payment Links,Payment Links,T+1,Mai Ragab,2021-01-22,2021-01-29,2024-07-02,0,2026-06-26,7.0,1250.0,0,Active,2021-01,2021-01,2021.0,0,20210122,20210129,20240702,20260626
57,M00057,SA843654782,Oasis Logistics,SA,B2B,Logistics,B2B Collections,Direct API,T+1,Reem Al-Ghamdi,2021-01-22,2021-03-14,2024-07-02,0,2026-06-25,51.0,1206.0,0,Active,2021-01,2021-03,2021.0,0,20210122,20210314,20240702,20260625
58,M00058,OM206534144,Golden Partners,OM,SME,Professional Services,Payment Links,Payment Links,T+2,Salim Al-Harthy,2021-01-23,2021-01-28,2024-07-01,0,2026-06-30,5.0,1250.0,0,Active,2021-01,2021-01,2021.0,0,20210123,20210128,20240701,20260630
59,M00059,AE744794983,Pearl Deals,AE,Online,E-commerce,Subscriptions,Direct API,T+1,Yousef Al-Marri,2021-01-24,2021-05-04,2024-07-01,0,2026-06-30,100.0,1154.0,0,Active,2021-01,2021-05,2021.0,0,20210124,20210504,20240701,20260630
60,M00060,EG605770113,Horizon Labs,EG,SME,Healthcare,Payment Links,Payment Links,Instant,Mai Ragab,2021-01-31,2021-02-05,2024-07-02,0,2025-04-29,5.0,1243.0,0,Churned,2021-01,2021-02,2021.0,0,20210131,20210205,20240702,20250429
61,M00061,EG989134753,Zenith Travel,EG,Enterprise,Travel & Hospitality,Online Checkout,E-commerce Plugin,T+2,Mai Ragab,2021-02-01,2021-02-11,2024-07-01,0,2026-06-30,10.0,1236.0,0,Active,2021-02,2021-02,2021.0,0,20210201,20210211,20240701,20260630
62,M00062,AE901367882,Oasis Online,AE,Enterprise,E-commerce,POS Acceptance,POS Terminal,T+1,Layla Haddad,2021-02-08,2021-03-14,,0,,34.0,,0,Live - never transacted,2021-02,2021-03,2021.0,0,20210208,20210314,,
63,M00063,SA502327003,Bright Pharmacy,SA,SME,Healthcare,Online Checkout,Direct API,T+2,Omar Al-Anazi,2021-02-10,2021-04-19,2024-07-01,0,2026-06-30,68.0,1169.0,0,Active,2021-02,2021-04,2021.0,0,20210210,20210419,20240701,20260630
64,M00064,EG559913630,Swift Institute,EG,Online,Education,Online Checkout,Hosted Checkout,T+2,Mai Ragab,2021-02-10,2021-03-20,2024-07-02,0,2026-06-30,38.0,1200.0,0,Active,2021-02,2021-03,2021.0,0,20210210,20210320,20240702,20260630
65,M00065,EG270479119,Coral Stores,EG,SME,Retail,Online Checkout,Hosted Checkout,T+2,Karim Ezzat,2021-02-11,2021-03-04,,0,,21.0,,0,Live - never transacted,2021-02,2021-03,2021.0,0,20210211,20210304,,
66,M00066,EG952454778,Oasis Grill,EG,SME,Food & Beverage,Online Checkout,Direct API,T+1,Nadia Fouad,2021-02-13,2021-04-20,2024-07-01,0,2026-06-30,66.0,1168.0,0,Active,2021-02,2021-04,2021.0,0,20210213,20210420,20240701,20260630
67,M00067,SA624172387,Oasis Roastery,SA,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Turki Al-Shammari,2021-02-16,2021-03-15,2024-07-01,0,2026-06-30,27.0,1204.0,0,Active,2021-02,2021-03,2021.0,0,20210216,20210315,20240701,20260630
68,M00068,SA951904107,Green Cart,SA,Online,E-commerce,Online Checkout,E-commerce Plugin,Instant,Turki Al-Shammari,2021-02-16,2021-02-24,2024-07-01,0,2025-06-30,8.0,1223.0,0,Churned,2021-02,2021-02,2021.0,0,20210216,20210224,20240701,20250630
69,M00069,AE551105480,Silver Partners,AE,SME,Professional Services,Payment Links,Payment Links,T+2,Yousef Al-Marri,2021-02-16,2021-02-19,2024-07-02,0,2026-06-30,3.0,1229.0,0,Active,2021-02,2021-02,2021.0,0,20210216,20210219,20240702,20260630
70,M00070,AE405837168,Coral Shop,AE,Online,E-commerce,Online Checkout,Direct API,T+1,Yousef Al-Marri,2021-02-20,,,0,,,,0,Onboarding (not live),2021-02,,,0,20210220,,,
71,M00071,SA184014126,Oasis Cafe,SA,Online,Food & Beverage,Subscriptions,Direct API,Instant,Turki Al-Shammari,2021-02-21,2021-04-23,2024-07-01,0,2026-06-30,61.0,1165.0,0,Active,2021-02,2021-04,2021.0,0,20210221,20210423,20240701,20260630
72,M00072,AE634747251,Amber Academy,AE,Online,Education,Online Checkout,Direct API,T+2,Yousef Al-Marri,2021-02-21,2021-06-13,,0,,112.0,,0,Live - never transacted,2021-02,2021-06,2021.0,0,20210221,20210613,,
73,M00073,EG312940892,Nova Consulting,EG,SME,Professional Services,POS Acceptance,POS Terminal,T+2,Mai Ragab,2021-02-23,2021-03-05,,0,,10.0,,0,Live - never transacted,2021-02,2021-03,2021.0,0,20210223,20210305,,
74,M00074,OM869288062,Sand Stays,OM,Online,Travel & Hospitality,Online Checkout,Direct API,T+1,Salim Al-Harthy,2021-02-24,2021-04-25,2024-07-04,0,2026-06-28,60.0,1166.0,0,Active,2021-02,2021-04,2021.0,0,20210224,20210425,20240704,20260628
75,M00075,EG161643120,Horizon Stores,EG,SME,Retail,POS Acceptance,POS Terminal,T+1,Mai Ragab,2021-02-26,2021-03-08,2024-07-01,0,2026-06-30,10.0,1211.0,0,Active,2021-02,2021-03,2021.0,0,20210226,20210308,20240701,20260630
76,M00076,SA435110503,Swift Partners,SA,B2B,Professional Services,B2B Collections,Payment Links,Weekly,Reem Al-Ghamdi,2021-02-27,2021-03-02,2024-07-01,0,2026-06-29,3.0,1217.0,0,Active,2021-02,2021-03,2021.0,0,20210227,20210302,20240701,20260629
77,M00077,EG544762327,Silver Market,EG,SME,Retail,POS Acceptance,POS Terminal,Instant,Karim Ezzat,2021-02-28,2021-03-22,,0,,22.0,,0,Live - never transacted,2021-02,2021-03,2021.0,0,20210228,20210322,,
78,M00078,EG629727686,Prime Cafe,EG,SME,Food & Beverage,Payment Links,Payment Links,T+1,Hany Soliman,2021-03-02,2021-03-05,2024-07-01,0,2026-06-29,3.0,1214.0,0,Active,2021-03,2021-03,2021.0,0,20210302,20210305,20240701,20260629
79,M00079,SA147303844,Urban Deals,SA,Online,E-commerce,Subscriptions,Direct API,T+1,Omar Al-Anazi,2021-03-03,2021-05-14,2024-07-01,0,2026-06-30,72.0,1144.0,0,Active,2021-03,2021-05,2021.0,0,20210303,20210514,20240701,20260630
80,M00080,EG893131097,Nova Boutique,EG,SME,Retail,Online Checkout,Direct API,T+2,Karim Ezzat,2021-03-05,,,0,,,,0,Onboarding (not live),2021-03,,,0,20210305,,,
81,M00081,AE836534480,Green Services,AE,SME,Professional Services,Online Checkout,E-commerce Plugin,T+2,Layla Haddad,2021-03-09,2021-03-25,2024-07-01,0,2026-06-30,16.0,1194.0,0,Active,2021-03,2021-03,2021.0,0,20210309,20210325,20240701,20260630
82,M00082,EG460895383,Amber Services,EG,SME,Professional Services,Online Checkout,Hosted Checkout,T+1,Hany Soliman,2021-03-11,,,0,,,,0,Onboarding (not live),2021-03,,,0,20210311,,,
83,M00083,SA407055199,Urban Outlet,SA,SME,Retail,Online Checkout,Hosted Checkout,Instant,Reem Al-Ghamdi,2021-03-11,2021-03-30,2024-07-01,0,2026-06-30,19.0,1189.0,0,Active,2021-03,2021-03,2021.0,0,20210311,20210330,20240701,20260630
84,M00084,EG892567447,Bright Boutique,EG,SME,Retail,Payment Links,Payment Links,T+1,Mai Ragab,2021-03-15,2021-03-24,,0,,9.0,,0,Live - never transacted,2021-03,2021-03,2021.0,0,20210315,20210324,,
85,M00085,EG899270559,Silver Telecom,EG,B2B,Telecom & Utilities,B2B Collections,Payment Links,Weekly,Nadia Fouad,2021-03-15,2021-03-21,,0,,6.0,,0,Live - never transacted,2021-03,2021-03,2021.0,0,20210315,20210321,,
86,M00086,EG849029255,Prime Bakery,EG,SME,Unclassified,POS Acceptance,POS Terminal,T+2,Nadia Fouad,2021-03-18,2021-04-09,2024-07-01,0,2026-06-30,22.0,1179.0,0,Active,2021-03,2021-04,2021.0,0,20210318,20210409,20240701,20260630
87,M00087,AE201167720,Zenith Logistics,AE,B2B,Logistics,B2B Collections,Direct API,T+1,Layla Haddad,2021-03-23,2021-05-09,2024-07-02,0,2026-06-30,47.0,1150.0,0,Active,2021-03,2021-05,2021.0,0,20210323,20210509,20240702,20260630
88,M00088,OM194734403,Prime Medical,OM,SME,Healthcare,POS Acceptance,POS Terminal,T+1,Salim Al-Harthy,2021-03-24,2021-04-22,2024-07-01,0,2026-06-30,29.0,1166.0,0,Active,2021-03,2021-04,2021.0,0,20210324,20210422,20240701,20260630
89,M00089,AE984737156,Prime Consulting,AE,SME,Professional Services,Payment Links,Payment Links,Instant,Layla Haddad,2021-03-25,2021-03-31,2024-07-01,0,2026-06-30,6.0,1188.0,0,Active,2021-03,2021-03,2021.0,0,20210325,20210331,20240701,20260630
90,M00090,EG179674340,Pearl Mart,EG,SME,Retail,Payment Links,Payment Links,Instant,Karim Ezzat,2021-03-30,,,0,,,,0,Onboarding (not live),2021-03,,,0,20210330,,,
91,M00091,OM107384993,Nova Stores,OM,Enterprise,Retail,Online Checkout,Hosted Checkout,T+2,Salim Al-Harthy,2021-03-30,2021-04-14,2024-07-01,0,2026-06-30,15.0,1174.0,0,Active,2021-03,2021-04,2021.0,0,20210330,20210414,20240701,20260630
92,M00092,AE535684565,Prime Grill,AE,SME,Food & Beverage,Payment Links,Payment Links,T+1,Yousef Al-Marri,2021-04-01,2021-04-06,,0,,5.0,,0,Live - never transacted,2021-04,2021-04,2021.0,0,20210401,20210406,,
93,M00093,AE779021046,Nova Travel,AE,Online,Travel & Hospitality,Online Checkout,Direct API,T+1,Layla Haddad,2021-04-01,2021-05-01,2024-07-01,0,2026-06-30,30.0,1157.0,0,Active,2021-04,2021-05,2021.0,0,20210401,20210501,20240701,20260630
94,M00094,OM730950792,Silver Shop,OM,Online,E-commerce,Subscriptions,Direct API,T+1,Salim Al-Harthy,2021-04-02,2021-06-20,2024-07-01,0,2026-06-30,79.0,1107.0,0,Active,2021-04,2021-06,2021.0,0,20210402,20210620,20240701,20260630
95,M00095,AE798073466,Amber Cart,AE,Online,E-commerce,Online Checkout,Hosted Checkout,T+2,Yousef Al-Marri,2021-04-03,2021-04-20,2024-07-01,0,2026-06-30,17.0,1168.0,0,Active,2021-04,2021-04,2021.0,0,20210403,20210420,20240701,20260630
96,M00096,EG555612612,Swift Deals,EG,Online,E-commerce,Online Checkout,E-commerce Plugin,T+2,Karim Ezzat,2021-04-06,2021-04-25,,0,,19.0,,0,Live - never transacted,2021-04,2021-04,2021.0,0,20210406,20210425,,
97,M00097,AE572051786,Blue Cafe,AE,SME,Food & Beverage,POS Acceptance,POS Terminal,Instant,Layla Haddad,2021-04-06,2021-05-11,2024-07-01,0,2026-06-30,35.0,1147.0,0,Active,2021-04,2021-05,2021.0,0,20210406,20210511,20240701,20260630
98,M00098,SA576895050,Urban Mart,SA,SME,Retail,Payment Links,Payment Links,Instant,Reem Al-Ghamdi,2021-04-07,2021-04-12,2024-07-01,0,2026-05-31,5.0,1176.0,0,Active,2021-04,2021-04,2021.0,0,20210407,20210412,20240701,20260531
99,M00099,EG867607945,Blue Medical,EG,SME,Healthcare,POS Acceptance,POS Terminal,Instant,Nadia Fouad,2021-04-09,2021-04-26,2024-07-01,0,2026-06-30,17.0,1162.0,0,Active,2021-04,2021-04,2021.0,0,20210409,20210426,20240701,20260630
100,M00100,SA206829187,Green Partners,SA,SME,Professional Services,POS Acceptance,POS Terminal,T+1,Omar Al-Anazi,2021-04-11,2021-04-26,2024-07-03,0,2026-06-30,15.0,1164.0,0,Active,2021-04,2021-04,2021.0,0,20210411,20210426,20240703,20260630
101,M00101,EG216145371,Green Consulting,EG,SME,Professional Services,POS Acceptance,POS Terminal,T+2,Hany Soliman,2021-04-11,2021-04-24,2024-07-01,0,2026-06-30,13.0,1164.0,0,Active,2021-04,2021-04,2021.0,0,20210411,20210424,20240701,20260630
102,M00102,SA859807984,Palm Tours,SA,Online,Travel & Hospitality,Subscriptions,Direct API,Instant,Turki Al-Shammari,2021-04-12,2021-06-19,2024-07-01,0,2026-06-30,68.0,1108.0,0,Active,2021-04,2021-06,2021.0,0,20210412,20210619,20240701,20260630
103,M00103,SA526087400,Crescent Online,SA,Online,E-commerce,Subscriptions,Direct API,T+2,Reem Al-Ghamdi,2021-04-21,,,0,,,,0,Onboarding (not live),2021-04,,,0,20210421,,,
104,M00104,AE779615691,Coral Learning,AE,Online,Education,Online Checkout,Direct API,Instant,Layla Haddad,2021-04-28,,,0,,,,0,Onboarding (not live),2021-04,,,0,20210428,,,
